"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:24,1","5:24,1","1,00","5:24","5:18","127","140","19","19","378","4.76","492","6.19","176","248","50,6% L / 49,4% P","1,06","9,0","8,8","72","18,0","4:33","182","5:22","5:22","--","--"
"2","6:18,9","11:43","1,00","6:19","5:29","140","146","49","1","395","4.97","467","5.88","180","265","50,2% L / 49,8% P","0,88","7,6","8,5","92","14,0","5:14","185","6:18,9","6:19","--","--"
"3","6:23,9","18:07","1,00","6:24","5:32","142","147","55","1","383","4.82","482","6.06","181","268","50,3% L / 49,7% P","0,85","7,2","8,2","93","12,0","5:19","186","6:23,9","6:24","--","--"
"4","4:26,4","22:33","1,00","4:26","4:41","137","143","4","42","366","4.60","493","6.20","179","231","49,6% L / 50,4% P","1,24","9,5","7,5","63","11,0","3:45","185","4:26","4:26","--","--"
"5","4:26,9","27:00","1,00","4:27","4:43","138","144","0","37","369","4.64","427","5.37","179","234","49,4% L / 50,6% P","1,27","9,7","7,4","64","10,0","3:47","183","4:26,9","4:27","--","--"
"6","4:35,6","31:36","1,00","4:36","4:51","136","144","0","34","364","4.58","409","5.15","177","240","49,4% L / 50,6% P","1,24","9,8","7,7","65","11,0","4:11","180","4:35,6","4:36","--","--"
"7","4:50,7","36:26","1,00","4:51","4:59","140","149","4","20","374","4.71","527","6.63","178","242","49,5% L / 50,5% P","1,16","9,4","7,9","69","10,0","4:35","181","4:50","4:50","--","--"
"8","4:51,6","41:18","1,00","4:52","5:01","137","141","0","21","364","4.58","391","4.92","178","244","49,7% L / 50,3% P","1,16","9,4","7,9","68","10,0","4:35","185","4:51,6","4:52","--","--"
"9","4:51,2","46:09","1,00","4:51","5:01","138","144","1","16","368","4.63","435","5.47","178","242","49,5% L / 50,5% P","1,16","9,5","8,0","67","9,0","4:27","180","4:51","4:51","--","--"
"10","5:19,6","51:29","1,00","5:20","5:13","141","145","11","6","379","4.77","447","5.62","176","255","49,6% L / 50,4% P","1,08","9,3","8,4","74","10,0","4:31","214","5:19,6","5:20","--","--"
"11","5:25,9","56:55","1,00","5:26","5:22","141","144","11","3","373","4.69","414","5.21","177","255","49,8% L / 50,2% P","1,03","9,0","8,5","75","10,0","4:55","182","5:25,9","5:26","--","--"
"12","5:19,1","1:02:14","1,00","5:19","5:13","141","146","7","0","380","4.78","438","5.51","178","251","49,7% L / 50,3% P","1,06","9,0","8,3","73","10,0","4:56","182","5:19","5:19","--","--"
"13","5:36,3","1:07:50","1,00","5:36","5:27","140","146","14","0","376","4.73","429","5.40","176","257","49,9% L / 50,1% P","1,01","9,0","8,7","75","9,0","5:22","180","5:36","5:36","--","--"
"14","5:54,6","1:13:45","1,00","5:55","5:33","141","147","30","5","376","4.73","455","5.72","175","262","50,1% L / 49,9% P","0,96","8,7","8,9","78","10,0","5:03","180","5:54,6","5:55","--","--"
"15","0:01,5","1:13:46","0,01","4:11","5:47","135","135","0","0","381","4.79","381","4.79","171","257","49,8% L / 50,2% P","0,98","10,1","9,8","0","10,0","5:51","171","0:01","2:52","--","--"
"Podsumowanie","1:13:46","1:13:46","14,01","5:16","5:11","139","149","204","208","375","4.72","527","6.63","178","251","49,8% L / 50,2% P","1,07","8,9","8,2","1.029","11,1","3:45","214","1:13:42","5:16","--","--"
