"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:18,8","5:18,8","1,00","5:19","5:17","128","136","4","1","375","4.68","435","5.43","175","251","50,2% L / 49,8% P","1,06","9,1","8,4","74","24,0","4:59","180","5:18,8","5:19","--","--"
"2","5:14,9","10:34","1,00","5:15","5:10","134","139","6","0","381","4.76","420","5.24","181","246","50,0% L / 50,0% P","1,06","8,7","8,0","76","22,0","5:10","183","5:14,9","5:15","--","--"
"3","5:13,4","15:47","1,00","5:13","5:15","134","138","4","5","367","4.58","426","5.32","179","248","49,9% L / 50,1% P","1,07","8,9","8,2","75","20,0","5:05","189","5:13,4","5:13","--","--"
"4","5:10,0","20:57","1,00","5:10","5:14","133","139","0","6","360","4.50","379","4.73","180","247","49,8% L / 50,2% P","1,08","9,0","8,1","72","19,0","5:04","181","5:10,0","5:10","--","--"
"5","5:12,5","26:10","1,00","5:12","5:12","135","139","2","4","372","4.65","436","5.44","179","247","50,1% L / 49,9% P","1,08","9,1","8,2","74","19,0","4:35","181","5:12","5:12","--","--"
"6","5:14,8","31:24","1,00","5:15","5:10","137","141","8","0","389","4.86","458","5.72","179","247","50,2% L / 49,8% P","1,07","9,0","8,3","76","19,0","5:06","234","5:14,8","5:15","--","--"
"7","5:15,4","36:40","1,00","5:15","5:13","138","142","5","0","384","4.80","426","5.32","178","248","50,2% L / 49,8% P","1,07","9,2","8,4","75","19,0","5:05","181","5:15","5:15","--","--"
"8","5:06,3","41:46","1,00","5:06","5:11","137","143","0","7","368","4.60","387","4.83","178","246","50,0% L / 50,0% P","1,10","9,4","8,3","72","18,0","4:55","180","5:06,3","5:06","--","--"
"9","5:07,7","46:54","1,00","5:08","5:12","137","142","0","6","367","4.58","409","5.11","178","247","50,2% L / 49,8% P","1,09","9,2","8,2","72","19,0","4:56","181","5:07","5:07","--","--"
"10","5:11,1","52:05","1,00","5:11","5:09","139","142","4","3","381","4.76","404","5.04","178","248","50,3% L / 49,7% P","1,09","9,2","8,3","73","18,0","4:48","180","5:11","5:11","--","--"
"11","0:00,4","52:05","0,00","1:53","4:52","140","140","0","0","384","4.80","384","4.80","177","250","50,0% L / 50,0% P","1,18","9,3","7,8","0","18,0","4:48","177","0:00,4","1:53","--","--"
"Podsumowanie","52:05","52:05","10,00","5:12","5:12","135","143","33","32","375","4.68","458","5.72","178","248","50,1% L / 49,9% P","1,08","9,1","8,2","739","19,7","4:35","234","52:04","5:12","--","--"
