"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","15:23","15:23","2,86","5:22","5:28","131","139","10","50","175","253","50,4% L / 49,6% P","1,07","9,4","8,7","354","353","4.41","454","5.67","208","12,0","4:38","180","15:18","5:21"
"","1","Bieg","4","0:20","15:43","0,09","3:35","4:13","140","147","0","0","197","197","49,9% L / 50,1% P","1,30","8,2","7,0","399","453","5.65","558","6.96","5","11,0","3:18","202","0:19","3:24"
"","","Regeneracja","5","1:00","16:43","0,15","6:33","5:54","146","154","2","0","174","267","50,3% L / 49,7% P","0,90","8,6","9,3","394","346","4.32","552","6.89","15","11,0","3:33","198","0:59","6:26"
"","2","Bieg","6","0:20","17:03","0,09","3:36","4:16","142","153","1","0","195","198","50,0% L / 50,0% P","1,12","8,2","8,1","354","458","5.72","548","6.84","5","10,0","3:29","199","0:19","3:25"
"","","Regeneracja","7","1:00","18:03","0,15","6:36","5:44","150","159","3","0","166","278","50,2% L / 49,8% P","0,94","9,5","10,0","423","374","4.67","611","7.63","15","10,0","3:28","198","0:59","6:30"
"","3","Bieg","8","0:20","18:23","0,09","3:40","4:19","144","153","1","0","192","204","50,3% L / 49,7% P","1,28","8,6","7,4","370","486","6.07","583","7.28","5","11,0","3:28","197","0:19","3:29"
"","","Regeneracja","9","1:00","19:23","0,14","7:03","6:16","149","159","2","0","164","289","50,0% L / 50,0% P","0,92","9,2","10,1","403","332","4.14","613","7.65","15","10,0","3:26","194","0:59","6:56"
"","4","Bieg","10","0:20","19:43","0,11","3:10","3:51","141","154","0","0","196","197","49,6% L / 50,4% P","1,21","8,4","8,3","362","515","6.43","705","8.80","5","10,0","2:49","205","0:19","3:00"
"","","Regeneracja","11","1:00","20:43","0,15","6:45","4:52","154","164","3","0","166","282","50,0% L / 50,0% P","0,95","9,3","9,8","503","428","5.34","785","9.80","16","10,0","2:49","201","0:59","6:38"
"","","Schładzanie","12","4:14,5","24:57","0,67","6:23","5:54","139","145","25","2","169","272","50,6% L / 49,4% P","0,92","9,3","10,0","379","373","4.65","451","5.63","58","10,0","5:48","173","4:14,5","6:23"
"","Podsumowanie","--","--","24:58","24:58","4,51","5:32","5:28","136","164","50","53","174","258","50,4% L / 49,6% P","1,03","9,3","9,0","377","366","4.57","785","9.80","346","11,3","2:49","205","24:55","5:32"
