"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:28,0","5:28,0","1,00","5:28","5:25","127","137","15","22","382","4.76","471","5.86","171","241","50,4% L / 49,6% P","1,08","10,2","9,4","75","21,0","4:37","176","5:28,0","5:28","",""
"2","6:29,4","11:57","1,00","6:29","5:37","136","142","53","1","402","5.01","488","6.08","172","267","50,2% L / 49,8% P","0,89","8,9","9,8","93","18,0","5:25","176","6:29,4","6:29","",""
"3","6:26,7","18:24","1,00","6:27","5:28","139","146","54","0","410","5.10","511","6.36","171","270","50,3% L / 49,7% P","0,90","8,9","9,7","93","16,0","5:31","176","6:26","6:26","",""
"4","4:34,3","22:58","1,00","4:34","4:52","135","141","4","44","358","4.46","477","5.94","174","223","50,1% L / 49,9% P","1,25","10,4","8,2","65","14,0","3:46","178","4:34,3","4:34","",""
"5","4:31,9","27:30","1,00","4:32","4:48","137","141","0","37","365","4.54","405","5.04","173","222","50,3% L / 49,7% P","1,29","10,6","8,0","65","13,0","4:09","177","4:31","4:31","",""
"6","4:43,2","32:13","1,00","4:43","5:00","134","138","0","33","358","4.46","402","5.01","172","226","49,9% L / 50,1% P","1,23","10,6","8,3","66","13,0","4:37","175","4:43,2","4:43","",""
"7","5:11,3","37:25","1,00","5:11","5:19","135","142","5","19","360","4.48","497","6.19","170","239","50,0% L / 50,0% P","1,13","10,3","8,9","71","13,0","4:50","173","5:11","5:11","",""
"8","5:00,4","42:25","1,00","5:00","5:13","134","138","0","23","355","4.42","390","4.86","171","233","50,0% L / 50,0% P","1,17","10,4","8,7","68","13,0","4:50","175","5:00","5:00","",""
"9","5:04,1","47:29","1,00","5:04","5:11","135","140","1","16","364","4.53","433","5.39","170","238","50,1% L / 49,9% P","1,17","10,3","8,7","72","13,0","4:43","180","5:04","5:04","",""
"10","5:16,0","52:45","1,00","5:16","5:10","138","145","9","7","390","4.86","454","5.65","171","248","50,2% L / 49,8% P","1,12","10,1","8,8","74","13,0","4:47","176","5:16","5:16","",""
"11","5:22,6","58:08","1,00","5:23","5:16","140","144","13","2","395","4.92","456","5.68","171","254","50,3% L / 49,7% P","1,09","9,9","8,9","76","13,0","4:59","173","5:22,6","5:23","",""
"12","5:27,3","1:03:35","1,00","5:27","5:26","138","142","8","7","376","4.68","451","5.62","171","254","50,1% L / 49,9% P","1,07","9,8","9,0","73","12,0","4:45","175","5:27","5:27","",""
"13","5:46,5","1:09:22","1,00","5:47","5:35","136","141","18","0","386","4.81","439","5.47","170","264","50,3% L / 49,7% P","1,02","9,7","9,3","75","12,0","5:24","174","5:46,5","5:47","",""
"14","5:58,5","1:15:20","1,00","5:59","5:31","139","145","30","1","392","4.88","455","5.66","171","267","50,3% L / 49,7% P","0,98","9,4","9,3","79","12,0","5:31","174","5:58","5:58","",""
"15","0:01,1","1:15:21","0,01","2:49","6:30","142","142","0","0","315","3.92","316","3.93","170","240","50,4% L / 49,6% P","1,00","10,6","10,3","0","12,0","6:23","170","0:01","2:39","",""
"Podsumowanie","1:15:21","1:15:21","14,01","5:23","5:17","136","146","210","213","380","4.73","511","6.36","171","248","50,2% L / 49,8% P","1,09","9,9","9,0","1.046","14,1","3:46","180","1:15:18","5:23","",""
