"Okrążenia","Czas","Łączny czas","Dystansm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:54,6","5:54,6","1.000","5:55","--","144","148","0","0","340","4.27","425","5.34","169","273","50,0% L / 50,0% P","1,02","9,5","9,1","81","16,0","4:47","174","5:54,6","5:55","--","--"
"2","5:54,0","11:49","1.000","5:54","--","143","147","0","0","337","4.23","356","4.47","168","278","50,0% L / 50,0% P","1,01","9,6","9,3","80","17,0","5:41","170","5:54,0","5:54","--","--"
"3","0:01,0","11:50","0","5:54","--","144","144","0","0","351","4.41","351","4.41","166","281","50,4% L / 49,6% P","1,04","10,7","9,1","0","16,0","0","166","0:01","0","--","--"
"Podsumowanie","11:50","11:50","2.000","5:55","--","144","148","0","0","339","4.26","425","5.34","169","275","50,0% L / 50,0% P","1,01","9,5","9,2","161","16,5","4:47","174","11:50","5:55","--","--"
