"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","6:59,4","6:59,4","1,00","6:59","5:31","134","147","80","0","396","4.97","503","6.31","178","273","50,9% L / 49,1% P","0,81","7,3","8,8","98","25,0","4:40","187","6:56","6:56","",""
"2","5:26,5","12:26","1,00","5:26","5:16","137","151","29","42","354","4.44","459","5.76","178","248","50,5% L / 49,5% P","1,01","8,8","8,6","77","23,0","3:43","184","5:26","5:26","",""
"3","4:11,5","16:37","1,00","4:12","4:30","133","138","0","72","331","4.15","436","5.47","176","216","49,7% L / 50,3% P","1,37","10,5","7,4","60","21,0","3:41","182","4:11,5","4:12","",""
"4","4:48,3","21:26","1,00","4:48","4:58","133","139","5","34","369","4.63","437","5.49","175","233","50,3% L / 49,7% P","1,20","9,9","8,1","67","21,0","4:04","178","4:48","4:48","",""
"5","5:49,9","27:16","1,00","5:50","5:30","137","144","24","0","393","4.93","482","6.05","176","259","50,9% L / 49,1% P","0,98","9,1","9,0","82","21,0","5:32","180","5:49,9","5:50","",""
"6","5:39,3","32:55","1,00","5:39","5:42","135","145","15","24","354","4.44","448","5.62","172","250","50,6% L / 49,4% P","1,02","10,0","9,6","77","21,0","4:37","178","5:39","5:39","",""
"7","5:03,4","37:58","1,00","5:03","5:13","133","138","0","19","362","4.54","383","4.81","172","239","50,5% L / 49,5% P","1,16","10,5","8,9","69","20,0","4:55","175","5:03,4","5:03","",""
"8","5:07,1","43:05","1,00","5:07","5:15","135","144","0","13","362","4.54","394","4.95","171","241","50,7% L / 49,3% P","1,14","10,5","8,9","71","20,0","4:53","174","5:07","5:07","",""
"9","5:20,6","48:26","1,00","5:21","5:20","138","145","5","6","385","4.83","438","5.50","171","248","50,8% L / 49,2% P","1,10","10,4","9,2","74","20,0","5:00","175","5:20","5:20","",""
"10","5:30,4","53:56","1,00","5:30","5:19","139","147","14","0","406","5.10","468","5.87","172","253","50,9% L / 49,1% P","1,06","10,1","9,3","77","19,0","5:10","178","5:30,4","5:30","",""
"11","5:35,0","59:31","1,00","5:35","5:19","140","144","22","0","408","5.12","481","6.04","172","255","50,9% L / 49,1% P","1,04","10,0","9,3","77","19,0","5:20","175","5:35,0","5:35","",""
"12","1:54,5","1:01:26","0,30","6:19","5:29","144","147","16","1","412","5.17","496","6.23","170","271","51,1% L / 48,9% P","0,91","9,5","10,2","27","19,0","5:57","174","1:53","6:14","",""
"Podsumowanie","1:01:26","1:01:26","11,30","5:26","5:17","136","151","211","211","377","4.73","503","6.31","174","249","50,7% L / 49,3% P","1,06","9,6","8,9","855","21,0","3:41","187","1:01:19","5:26","",""
