"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:55,6","4:55,6","1,00","4:56","5:14","122","131","0","31","352","4.39","420","5.24","173","230","50,5% L / 49,5% P","1,17","10,3","8,6","66","23,0","4:36","212","4:54","4:54","",""
"2","5:12,1","10:08","1,00","5:12","5:17","131","140","1","10","361","4.50","397","4.95","173","239","50,2% L / 49,8% P","1,12","9,9","8,7","75","21,0","4:51","176","5:12","5:12","",""
"3","5:34,4","15:42","1,00","5:34","5:26","135","140","14","0","381","4.75","444","5.54","172","247","50,4% L / 49,6% P","1,04","9,8","9,1","82","19,0","5:22","177","5:34","5:34","",""
"4","5:41,7","21:24","1,00","5:42","5:28","137","143","19","0","382","4.77","458","5.71","173","250","50,4% L / 49,6% P","1,02","9,5","9,1","83","18,0","5:27","177","5:41,7","5:42","",""
"5","5:45,4","27:09","1,00","5:45","5:29","139","144","23","0","388","4.84","437","5.45","172","254","50,4% L / 49,6% P","1,01","9,4","9,2","82","18,0","5:27","177","5:45,4","5:45","",""
"6","5:33,6","32:43","1,00","5:34","5:27","140","146","20","8","382","4.77","477","5.95","172","247","50,4% L / 49,6% P","1,04","9,7","9,1","81","17,0","4:56","176","5:33","5:33","",""
"7","5:10,7","37:54","1,00","5:11","5:15","137","145","6","18","367","4.58","460","5.74","172","238","50,4% L / 49,6% P","1,12","10,0","8,8","73","17,0","4:39","177","5:10,7","5:11","",""
"8","4:45,2","42:39","1,00","4:45","4:52","139","144","1","19","374","4.67","403","5.03","174","228","50,3% L / 49,7% P","1,22","10,0","8,0","70","17,0","4:23","176","4:45","4:45","",""
"9","5:12,8","47:52","1,00","5:13","5:10","142","149","8","8","384","4.79","509","6.35","171","240","50,1% L / 49,9% P","1,12","10,1","8,8","77","17,0","4:56","176","5:12,8","5:13","",""
"10","0:01,2","47:53","0,01","3:34","5:15","143","143","0","0","382","4.77","382","4.77","167","246","50,1% L / 49,9% P","1,13","11,0","8,9","0","16,0","5:20","167","0:01","3:01","",""
"Podsumowanie","47:53","47:53","9,01","5:19","5:18","136","149","92","94","375","4.68","509","6.35","172","242","50,4% L / 49,6% P","1,09","9,9","8,9","689","18,5","4:23","212","47:50","5:19","",""
