"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:17,1","5:17,1","1,00","5:17","5:14","118","140","15","18","391","4.88","470","5.87","175","245","50,3% L / 49,7% P","1,08","9,8","9,0","69","20,0","4:26","184","5:16","5:16","--","--"
"2","5:28,3","10:45","1,00","5:28","5:17","138","142","18","0","396","4.94","480","5.99","176","252","50,2% L / 49,8% P","1,04","9,3","8,8","80","17,0","5:04","180","5:28","5:28","--","--"
"3","5:43,6","16:29","1,00","5:44","5:20","138","143","31","0","405","5.05","483","6.03","174","258","50,2% L / 49,8% P","1,00","9,3","9,1","82","16,0","5:21","177","5:43,6","5:44","--","--"
"4","4:39,6","21:09","1,00","4:40","4:52","136","141","0","28","386","4.82","417","5.20","177","236","50,5% L / 49,5% P","1,21","10,1","8,1","68","15,0","4:26","180","4:39","4:39","--","--"
"5","4:40,8","25:49","1,00","4:41","4:52","137","142","0","20","386","4.82","426","5.32","177","240","50,5% L / 49,5% P","1,21","9,9","8,0","68","14,0","4:23","180","4:40,8","4:41","--","--"
"6","4:40,1","30:29","1,00","4:40","4:52","137","142","0","23","384","4.79","426","5.32","176","238","50,5% L / 49,5% P","1,22","10,1","8,1","67","14,0","4:28","180","4:40","4:40","--","--"
"7","4:48,2","35:18","1,00","4:48","4:58","137","142","0","17","383","4.78","413","5.15","177","242","50,2% L / 49,8% P","1,17","9,8","8,1","68","14,0","4:38","180","4:48","4:48","--","--"
"8","5:22,4","40:40","1,00","5:22","5:15","139","143","12","2","393","4.90","450","5.62","176","251","50,3% L / 49,7% P","1,07","9,6","8,8","76","13,0","4:49","181","5:22,4","5:22","--","--"
"9","5:53,1","46:33","1,00","5:53","5:28","140","144","30","1","393","4.90","476","5.94","173","263","50,3% L / 49,7% P","0,98","9,2","9,2","80","13,0","5:15","177","5:53","5:53","--","--"
"10","5:20,1","51:53","1,00","5:20","5:24","139","148","10","15","381","4.75","476","5.94","174","250","50,6% L / 49,4% P","1,07","10,0","9,1","73","13,0","4:51","177","5:20","5:20","--","--"
"11","0:01,3","51:55","0,00","4:24","5:33","137","137","0","0","337","4.21","337","4.21","176","237","50,6% L / 49,4% P","1,13","10,1","8,6","0","13,0","5:10","176","0:01","3:20","--","--"
"Podsumowanie","51:55","51:55","10,00","5:11","5:10","136","148","114","125","390","4.87","483","6.03","176","248","50,3% L / 49,7% P","1,10","9,7","8,7","729","14,9","4:23","184","51:52","5:11","--","--"
