"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:20,5","5:20,5","1,00","5:20","5:19","130","143","16","20","383","4.81","490","6.15","173","242","50,6% L / 49,4% P","1,09","9,9","8,9","73","22,0","4:40","179","5:20,5","5:20","--","--"
"2","6:24,2","11:45","1,00","6:24","5:32","142","148","51","0","404","5.07","497","6.24","173","262","50,0% L / 50,0% P","0,90","8,8","9,6","91","20,0","5:17","180","6:24","6:24","--","--"
"3","6:29,8","18:15","1,00","6:30","5:33","144","149","55","1","405","5.09","477","5.99","171","266","50,1% L / 49,9% P","0,89","8,9","9,8","93","18,0","5:15","176","6:29,8","6:30","--","--"
"4","4:36,1","22:51","1,00","4:36","4:55","139","145","4","44","361","4.53","503","6.32","176","227","50,2% L / 49,8% P","1,22","10,2","8,2","64","17,0","3:50","184","4:36","4:36","--","--"
"5","4:37,4","27:28","1,00","4:37","4:53","138","145","0","36","363","4.56","398","5.00","174","229","50,5% L / 49,5% P","1,26","10,5","8,1","64","18,0","4:08","176","4:37","4:37","--","--"
"6","4:44,2","32:12","1,00","4:44","5:01","136","139","0","34","356","4.47","403","5.06","173","235","50,0% L / 50,0% P","1,22","10,2","8,2","65","18,0","4:35","179","4:44,2","4:44","--","--"
"7","5:43,2","37:55","1,00","5:43","5:32","138","149","17","8","369","4.63","487","6.12","170","257","49,9% L / 50,1% P","1,04","9,9","9,3","77","19,0","4:50","178","5:43","5:43","--","--"
"8","4:49,9","42:45","1,00","4:50","5:09","133","143","1","47","336","4.22","427","5.36","172","238","50,5% L / 49,5% P","1,20","10,3","8,5","58","18,0","4:14","178","4:49,9","4:50","--","--"
"9","5:05,5","47:51","1,00","5:06","5:13","138","145","0","11","370","4.65","428","5.38","172","243","49,9% L / 50,1% P","1,14","10,3","8,8","68","18,0","4:23","180","5:05","5:05","--","--"
"10","5:24,1","53:15","1,00","5:24","5:18","141","146","12","0","389","4.89","434","5.45","173","250","49,6% L / 50,4% P","1,07","9,8","9,0","73","17,0","5:05","176","5:24","5:24","--","--"
"11","6:28,1","59:43","1,00","6:28","5:37","142","147","53","0","396","4.97","470","5.90","170","270","50,4% L / 49,6% P","0,91","9,3","10,1","84","17,0","5:30","173","6:28,1","6:28","--","--"
"12","7:26,6","1:07:10","1,00","7:27","5:40","144","149","80","0","390","4.90","457","5.74","168","286","50,3% L / 49,7% P","0,80","8,5","10,4","97","18,0","6:02","172","7:26","7:26","--","--"
"13","5:05,2","1:12:15","1,00","5:05","5:06","142","148","19","50","369","4.63","423","5.31","174","247","50,5% L / 49,5% P","1,09","9,7","9,1","64","17,0","3:44","185","5:05","5:05","--","--"
"14","4:20,8","1:16:36","1,00","4:21","4:35","141","150","2","65","365","4.58","442","5.55","177","228","50,7% L / 49,3% P","1,32","10,3","7,6","55","16,0","3:43","182","4:20,8","4:21","--","--"
"15","0:01,1","1:16:37","0,00","4:17","5:38","145","145","0","0","371","4.66","371","4.66","173","249","50,8% L / 49,3% P","1,06","10,3","9,5","0","17,0","5:48","173","0:01","4:04","--","--"
"Podsumowanie","1:16:37","1:16:37","14,00","5:28","5:16","140","150","310","315","378","4.75","503","6.32","172","251","50,2% L / 49,8% P","1,06","9,7","9,1","1.026","18,1","3:43","185","1:16:34","5:28","--","--"
