"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","10:53","10:53","2,10","5:12","5:10","138","147","9","13","174","248","50,1% L / 49,9% P","1,11","9,9","8,7","381","380","4.77","443","5.56","162","23,0","4:44","180","10:51","5:10"
"","1","Bieg","4","1:25,4","12:19","0,40","3:33","3:48","160","170","2","0","192","193","49,3% L / 50,7% P","1,36","8,5","6,1","481","494","6.20","545","6.84","26","21,0","3:34","194","1:25,4","3:34"
"","","Regeneracja","5","1:25","13:44","0,18","7:41","6:33","154","172","4","0","161","308","49,7% L / 50,3% P","0,89","8,7","9,7","386","307","3.85","586","7.36","23","21,0","3:34","192","1:23","7:31"
"","2","Bieg","6","1:28,5","15:12","0,40","3:41","3:55","154","167","0","6","189","196","49,7% L / 50,3% P","1,40","8,9","6,4","421","440","5.52","499","6.26","25","21,0","3:36","192","1:28","3:40"
"","","Regeneracja","7","1:25","16:37","0,19","7:31","7:00","144","168","0","1","162","307","49,6% L / 50,4% P","0,91","8,7","9,4","331","269","3.38","506","6.35","20","20,0","3:36","186","1:23","7:20"
"","3","Bieg","8","1:27,9","18:05","0,40","3:40","3:44","158","172","4","0","193","197","49,8% L / 50,2% P","1,39","8,2","5,9","485","502","6.30","565","7.09","26","20,0","3:31","196","1:27,9","3:40"
"","","Regeneracja","9","1:25","19:30","0,17","8:35","7:32","151","173","2","0","158","325","49,5% L / 50,5% P","0,81","7,9","9,6","361","260","3.26","532","6.68","22","20,0","3:51","186","1:23","8:23"
"","4","Bieg","10","1:26,1","20:56","0,40","3:35","3:53","158","171","0","4","191","193","50,0% L / 50,0% P","1,41","8,6","6,3","419","440","5.52","525","6.59","25","20,0","3:33","193","1:26","3:35"
"","","Regeneracja","11","1:25","22:21","0,17","8:06","7:28","149","173","0","1","159","319","49,6% L / 50,4% P","0,84","8,4","10,0","324","255","3.20","500","6.28","21","19,0","3:38","190","1:23","7:55"
"","5","Bieg","12","1:27,1","23:48","0,40","3:38","3:42","162","176","2","0","193","196","49,9% L / 50,1% P","1,39","8,1","5,9","478","501","6.29","562","7.05","26","19,0","3:26","195","1:27","3:38"
"","","Regeneracja","13","1:25","25:13","0,16","8:42","6:44","155","176","4","0","157","326","49,3% L / 50,7% P","0,94","7,7","8,1","374","276","3.46","540","6.78","22","19,0","3:48","193","1:23","8:30"
"","6","Bieg","14","1:25,8","26:39","0,40","3:35","3:59","160","173","0","6","192","192","49,9% L / 50,1% P","1,38","8,4","6,3","408","428","5.37","495","6.21","25","19,0","3:31","195","1:25,8","3:35"
"","","Regeneracja","15","1:25","28:04","0,17","8:20","7:40","151","175","0","1","158","318","50,2% L / 49,8% P","0,84","8,2","9,9","313","245","3.08","509","6.39","21","18,0","3:37","190","1:23","8:08"
"","7","Bieg","16","1:26,1","29:30","0,40","3:35","3:39","164","178","2","0","192","194","50,0% L / 50,0% P","1,39","8,4","6,3","486","508","6.38","561","7.04","26","18,0","3:13","195","1:26","3:35"
"","","Regeneracja","17","1:25","30:55","0,16","8:47","7:13","156","177","2","0","157","326","49,2% L / 50,8% P","0,82","7,5","9,2","382","260","3.26","596","7.48","22","19,0","3:38","194","1:23","8:35"
"","8","Bieg","18","1:26,8","32:22","0,40","3:37","3:55","160","172","0","5","192","194","49,6% L / 50,4% P","1,38","8,3","6,1","411","434","5.45","477","5.99","25","18,0","3:36","194","1:26,8","3:37"
"","","Regeneracja","19","1:25","33:47","0,16","8:40","7:54","150","172","0","0","157","324","49,5% L / 50,5% P","0,78","7,9","10,0","308","233","2.92","514","6.45","20","18,0","3:39","191","1:23","8:28"
"","9","Bieg","20","1:25,3","35:12","0,40","3:33","3:36","165","177","4","0","195","193","49,6% L / 50,4% P","1,41","8,0","5,8","490","516","6.48","572","7.18","26","18,0","3:23","198","1:25","3:33"
"","","Regeneracja","21","1:25","36:37","0,16","9:01","7:58","156","178","2","0","155","344","48,9% L / 51,1% P","0,78","7,1","9,1","363","236","2.96","587","7.37","22","18,0","3:35","192","1:23","8:48"
"","10","Bieg","22","1:24,6","38:02","0,40","3:32","3:47","161","173","0","6","193","192","49,6% L / 50,4% P","1,40","8,2","6,0","423","444","5.57","503","6.31","24","18,0","3:22","197","1:24,6","3:32"
"","","Schładzanie","23 - 24","7:22,5","45:24","1,18","6:15","6:10","143","174","7","4","169","278","50,2% L / 49,8% P","0,95","9,1","9,5","337","324","4.07","519","6.51","97","18,0","3:35","188","7:22","6:15"
"","Podsumowanie","--","--","45:24","45:24","8,80","5:09","5:07","150","178","45","47","175","256","49,8% L / 50,2% P","1,10","8,7","8,2","398","367","4.61","596","7.48","703","19,9","3:13","198","45:13","5:08"
