"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:16,3","5:16,3","1,00","5:16","5:12","124","137","16","20","388","4.84","500","6.24","173","244","50,9% L / 49,1% P","1,10","9,7","8,5","69","19,0","4:44","179","5:14","5:14","--","--"
"2","6:19,3","11:36","1,00","6:19","5:31","137","143","51","1","415","5.18","527","6.58","173","268","50,2% L / 49,8% P","0,91","8,7","9,4","90","17,0","5:23","180","6:19","6:19","--","--"
"3","6:23,9","18:00","1,00","6:24","5:28","140","147","55","0","414","5.17","481","6.00","173","266","50,3% L / 49,7% P","0,90","8,7","9,5","92","16,0","5:35","181","6:23,9","6:24","--","--"
"4","4:44,1","22:44","1,00","4:44","5:02","132","142","4","44","353","4.41","478","5.97","176","234","50,2% L / 49,8% P","1,19","9,9","8,2","64","15,0","4:00","181","4:44","4:44","--","--"
"5","4:31,2","27:15","1,00","4:31","4:47","133","138","0","35","366","4.57","406","5.07","175","225","50,1% L / 49,9% P","1,27","10,2","7,8","63","15,0","4:20","178","4:31","4:31","--","--"
"6","4:37,4","31:52","1,00","4:37","4:54","134","138","0","34","360","4.49","433","5.40","174","230","49,9% L / 50,1% P","1,25","10,0","7,8","64","15,0","4:28","177","4:37,4","4:37","--","--"
"7","5:01,1","36:53","1,00","5:01","5:11","133","140","4","19","368","4.59","496","6.19","175","242","50,1% L / 49,9% P","1,13","9,7","8,4","68","16,0","4:47","180","5:01","5:01","--","--"
"8","4:54,2","41:48","1,00","4:54","5:07","131","139","0","24","360","4.49","390","4.87","175","238","50,0% L / 50,0% P","1,17","9,9","8,2","65","16,0","4:35","180","4:54","4:54","--","--"
"9","4:46,3","46:34","1,00","4:46","4:57","136","142","0","16","375","4.68","442","5.52","175","235","50,0% L / 50,0% P","1,19","9,9","8,1","66","15,0","4:39","177","4:46","4:46","--","--"
"10","5:14,5","51:48","1,00","5:14","5:08","137","142","11","9","389","4.85","429","5.35","173","249","50,2% L / 49,8% P","1,11","9,8","8,6","72","14,0","4:35","177","5:14,5","5:14","--","--"
"11","5:18,8","57:07","1,00","5:19","5:15","138","142","12","4","392","4.89","445","5.55","173","252","50,2% L / 49,8% P","1,08","9,8","8,9","72","14,0","4:57","176","5:18,8","5:19","--","--"
"12","5:12,2","1:02:19","1,00","5:12","5:04","139","153","7","1","401","5.00","493","6.15","173","250","49,9% L / 50,1% P","1,12","10,0","8,7","72","14,0","4:53","177","5:12","5:12","--","--"
"13","5:26,3","1:07:46","1,00","5:26","5:17","140","148","16","0","403","5.03","455","5.68","171","256","50,4% L / 49,6% P","1,07","9,9","9,1","74","14,0","5:16","174","5:26","5:26","--","--"
"14","5:44,5","1:13:30","1,00","5:44","5:25","140","144","29","5","399","4.98","477","5.95","171","263","50,3% L / 49,7% P","1,01","9,5","9,3","76","14,0","5:05","174","5:44,5","5:44","--","--"
"15","0:01,4","1:13:31","0,01","3:36","5:20","134","134","0","0","362","4.52","362","4.52","171","235","50,3% L / 49,7% P","1,15","10,3","8,8","0","14,0","4:59","171","0:01","2:38","--","--"
"Podsumowanie","1:13:31","1:13:31","14,01","5:15","5:10","135","153","205","212","386","4.82","527","6.58","174","248","50,2% L / 49,8% P","1,10","9,6","8,6","1.008","15,3","4:00","181","1:13:27","5:15","--","--"
