"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:21,4","5:21,4","1,00","5:21","5:17","125","137","15","20","369","4.61","481","6.00","173","245","51,2% L / 48,8% P","1,08","9,5","8,6","72","20,0","4:41","178","5:21,4","5:21","--","--"
"2","6:22,2","11:44","1,00","6:22","5:29","137","146","51","0","403","5.03","486","6.07","173","267","50,6% L / 49,4% P","0,91","8,6","9,3","91","18,0","5:20","179","6:22","6:22","--","--"
"3","6:26,1","18:10","1,00","6:26","5:32","140","147","55","0","400","4.99","478","5.97","173","266","50,9% L / 49,1% P","0,89","8,5","9,4","93","17,0","5:35","179","6:26","6:26","--","--"
"4","4:40,1","22:50","1,00","4:40","4:56","136","143","4","43","353","4.41","477","5.95","176","228","50,5% L / 49,5% P","1,21","9,9","8,0","65","16,0","4:00","179","4:40","4:40","--","--"
"5","4:35,3","27:25","1,00","4:35","4:51","137","142","0","38","356","4.44","393","4.91","177","225","50,4% L / 49,6% P","1,25","9,8","7,7","66","14,0","4:09","179","4:35","4:35","--","--"
"6","4:43,7","32:09","1,00","4:44","5:01","136","140","0","35","354","4.42","387","4.83","176","227","50,6% L / 49,4% P","1,20","9,9","8,0","67","13,0","4:31","179","4:43,7","4:44","--","--"
"7","5:35,1","37:44","1,00","5:35","5:23","137","145","19","10","373","4.66","487","6.08","174","251","50,7% L / 49,3% P","1,04","9,3","8,7","78","14,0","4:42","187","5:35","5:35","--","--"
"8","4:58,7","42:43","1,00","4:59","5:21","128","143","1","47","326","4.07","387","4.83","174","238","50,4% L / 49,6% P","1,15","9,8","8,4","59","14,0","4:32","177","4:58,7","4:59","--","--"
"9","5:44,7","48:27","1,00","5:45","5:27","134","141","22","3","383","4.78","446","5.57","171","256","50,7% L / 49,3% P","1,03","9,6","9,1","77","14,0","4:56","177","5:44,7","5:45","--","--"
"10","6:55,6","55:23","1,00","6:56","5:44","139","144","63","0","396","4.94","426","5.32","169","278","50,8% L / 49,2% P","0,85","8,7","10,0","89","16,0","6:29","173","6:55","6:55","--","--"
"11","5:51,5","1:01:14","1,00","5:51","5:45","134","148","23","28","349","4.36","454","5.67","168","259","50,8% L / 49,2% P","0,99","9,5","9,6","72","16,0","4:38","176","5:51,5","5:51","--","--"
"12","1:44,1","1:02:58","0,40","4:19","4:50","133","136","0","32","323","4.03","360","4.49","174","228","50,4% L / 49,6% P","1,32","10,3","7,5","21","15,0","4:11","177","1:43","4:16","--","--"
"Podsumowanie","1:02:58","1:02:58","11,40","5:31","5:21","135","148","253","256","371","4.63","487","6.08","173","251","50,7% L / 49,3% P","1,04","9,3","8,9","850","15,7","4:00","187","1:02:56","5:31","--","--"
