Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Suma kalorii,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średnia kadencja biegu,Maksymalna kadencja biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Średni czas kontaktu z podłożem,Średni bilans CKP,Średni GAP,Normalized Power® (NP®),Training Stress Score® (TSS®),Średnia moc,Maksymalna moc,Kroki,Minimalna temperatura,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Średnia częstotliwość oddechu,Minimalna częstotliwość oddechu,Maksymalna częstotliwość oddechu,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2025-09-16 15:59:16,false,"Wiśniowa Bieganie","11,01","777","00:56:07","136","149","3,1","177","183","5:06","3:55","138","139","1,11","8,4","9,5","239","50,6% L / 49,4% P","5:01","391","0,0","387","518","9.790","18,0","Nie","00:00:01,5","12","24,0","36","16","44","00:56:05","00:56:07","307","414"
Bieg lekkoatletyczny,2025-09-14 11:49:12,false,"Mszana Dolna Bieg lekkoatletyczny","12.000","835","00:55:11","151","170","3,9","180","209","4:36","3:02","--","--","1,21","7,9","9,6","229","50,2% L / 49,8% P","--","441","0,0","412","1.091","9.778","17,0","Nie","00:00:00,6","20","23,0","35","23","45","00:55:07","00:55:11","393","401"
Bieganie,2025-09-13 10:02:04,false,"Myślenice Bieganie","18,00","1.295","01:30:42","147","159","3,8","177","184","5:02","4:37","39","44","1,12","8,6","9,9","231","50,2% L / 49,8% P","5:03","372","0,0","371","459","15.894","19,0","Nie","00:00:00,6","19","27,0","35","25","45","01:30:39","01:30:42","278","297"
Bieganie,2025-09-12 15:48:46,false,"Wiśniowa Bieganie","7,50","552","00:42:42","129","136","2,6","179","185","5:41","5:11","45","47","0,98","9,1","9,2","245","50,0% L / 50,0% P","5:41","339","0,0","339","409","7.588","23,0","Nie","00:02:51,3","8","32,0","44","25","55","00:42:38","00:42:42","306","354"
Bieganie,2025-09-11 16:06:10,false,"Mszana Dolna - Trening interwałowy 800m","11,55","821","00:55:36","147","172","3,6","176","205","4:49","3:25","35","36","1,17","8,3","9,5","243","49,6% L / 50,4% P","4:49","419","0,0","394","614","9.664","21,0","Nie","00:00:01,0","21","29,0","35","24","48","00:55:26","00:55:36","374","387"
Bieganie,2025-09-10 10:34:37,false,"Myślenice - Baza przebieżki","15,02","1.070","01:16:18","143","170","3,5","175","213","5:05","2:44","37","39","1,12","8,8","10,0","239","50,3% L / 49,7% P","5:06","379","0,0","375","646","13.224","22,0","Nie","00:00:02,0","23","30,0","33","17","43","01:16:14","01:16:18","279","296"
Bieganie,2025-09-09 10:57:21,false,"Myślenice Bieganie","10,01","719","00:52:25","137","147","3,1","177","183","5:14","4:50","25","25","1,08","8,5","9,4","240","50,7% L / 49,3% P","5:14","360","0,0","360","423","9.206","20,0","Nie","00:00:01,1","11","27,0","38","17","47","00:52:23","00:52:25","278","297"
Bieg przełajowy,2025-09-07 12:36:14,false,"Bieg Trzech Wysp","14,97","1.406","01:22:22","173","186","5,0","164","235","5:30","2:54","752","749","1,09","10,2","10,5","299","50,3% L / 49,7% P","4:14","419","0,0","391","798","13.300","15,0","Nie","00:03:06,5","15","24,0","40","23","47","01:22:20","01:22:22","306","835"
Bieganie,2025-09-07 11:45:38,false,"Wiśniowa Bieganie","2,00","157","00:11:30","138","162","2,0","171","210","5:44","2:51","52","55","1,02","10,0","10,1","252","50,4% L / 49,6% P","5:30","385","0,0","368","799","1.938","20,0","Nie","00:00:12,1","6","24,0","32","20","38","00:11:27","00:14:24","355","390"
Bieganie,2025-09-04 16:02:43,false,"Wiśniowa Bieganie","10,30","789","00:57:15","142","153","3,1","176","188","5:33","3:30","297","301","1,02","9,1","9,2","251","50,4% L / 49,6% P","5:12","371","0,0","369","491","9.962","25,0","Nie","00:01:15,2","11","32,0","34","14","45","00:57:10","00:57:15","334","485"
