"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:21,3","5:21,3","1,00","5:21","5:19","126","137","9","0","383","4.76","454","5.64","172","252","50,8% L / 49,2% P","1,08","9,8","9,0","73","25,0","4:47","176","5:21,3","5:21","",""
"2","5:25,7","10:47","1,00","5:26","5:18","133","138","10","0","383","4.76","434","5.39","176","251","50,4% L / 49,6% P","1,05","9,4","8,7","78","23,0","5:17","182","5:25,7","5:26","",""
"3","5:31,5","16:18","1,00","5:31","5:20","134","138","15","0","386","4.80","431","5.35","175","253","50,3% L / 49,7% P","1,04","9,4","8,8","79","22,0","5:18","177","5:31,5","5:31","",""
"4","5:29,3","21:48","1,00","5:29","5:28","134","138","11","5","371","4.61","420","5.22","175","251","50,5% L / 49,5% P","1,03","9,5","9,0","76","20,0","5:01","178","5:29","5:29","",""
"5","5:03,1","26:51","1,00","5:03","5:10","134","138","0","16","369","4.58","396","4.92","177","242","50,8% L / 49,2% P","1,13","9,6","8,3","71","18,0","4:53","179","5:03","5:03","",""
"6","5:06,3","31:57","1,00","5:06","5:15","134","139","0","13","366","4.55","383","4.76","177","245","50,9% L / 49,1% P","1,11","9,6","8,4","71","17,0","5:00","179","5:06","5:06","",""
"7","5:16,1","37:13","1,00","5:16","5:24","135","139","0","11","365","4.53","411","5.11","176","247","50,8% L / 49,2% P","1,08","9,6","8,7","74","17,0","4:52","181","5:16,1","5:16","",""
"8","2:08,2","39:21","0,40","5:18","5:21","136","139","0","4","361","4.49","401","4.98","173","251","50,7% L / 49,3% P","1,10","9,7","8,6","30","17,0","4:52","179","2:07","5:15","",""
"Podsumowanie","39:21","39:21","7,40","5:19","5:19","133","139","45","49","374","4.65","454","5.64","175","249","50,6% L / 49,4% P","1,07","9,5","8,7","551","20,2","4:47","182","39:20","5:19","",""
