"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","10:32","10:32","1,00","10:32","5:02","147","160","168","0","388","4.82","506","6.29","158","330","50,4% L / 49,6% P","0,62","7,1","11,7","150","22,0","5:20","177","10:32","10:32","",""
"2","9:07,5","19:39","1,00","9:08","4:53","155","163","117","19","362","4.50","579","7.19","156","330","50,1% L / 49,9% P","0,69","7,4","11,0","138","18,0","3:54","188","9:07","9:07","",""
"3","4:35,1","24:14","1,00","4:35","4:51","149","158","8","95","302","3.75","575","7.14","173","233","50,6% L / 49,4% P","1,27","10,2","7,9","73","16,0","4:05","185","4:35","4:35","",""
"4","8:04,1","32:18","1,00","8:04","4:56","156","161","91","6","374","4.65","454","5.64","160","310","50,3% L / 49,7% P","0,78","8,0","10,3","124","17,0","4:21","181","8:04","8:04","",""
"5","5:08,8","37:27","1,00","5:09","5:27","148","157","7","84","293","3.64","463","5.75","172","245","50,4% L / 49,6% P","1,13","9,8","8,6","76","16,0","4:03","193","5:08,8","5:09","",""
"6","4:28,5","41:56","1,00","4:29","4:52","149","152","0","63","342","4.25","434","5.39","174","234","50,1% L / 49,9% P","1,28","10,1","7,6","70","16,0","4:11","185","4:28","4:28","",""
"7","5:25,1","47:21","1,00","5:25","5:33","151","155","12","36","358","4.45","474","5.89","172","253","50,3% L / 49,7% P","1,08","9,8","8,9","82","16,0","4:31","225","5:25","5:25","",""
"8","6:16,2","53:37","1,00","6:16","5:17","154","162","54","30","378","4.70","526","6.54","169","277","50,6% L / 49,4% P","0,96","8,9","9,2","94","16,0","4:33","181","6:16","6:16","",""
"9","5:28,8","59:06","1,00","5:29","5:25","151","158","20","50","340","4.22","470","5.84","174","258","50,5% L / 49,5% P","1,04","9,2","8,7","82","16,0","4:25","215","5:28,8","5:29","",""
"10","5:33,5","1:04:39","1,00","5:34","5:05","154","159","31","8","406","5.04","509","6.32","173","261","50,8% L / 49,2% P","1,05","9,2","8,6","86","17,0","4:21","179","5:33,5","5:34","",""
"11","8:03,4","1:12:43","1,00","8:03","5:34","158","166","83","0","375","4.66","510","6.34","160","316","50,5% L / 49,5% P","0,77","8,1","10,6","125","17,0","5:11","182","8:03","8:03","",""
"12","4:39,9","1:17:23","1,00","4:40","5:04","146","157","5","113","281","3.49","428","5.32","173","245","50,2% L / 49,8% P","1,22","9,8","7,9","53","17,0","3:08","205","4:39,9","4:40","",""
"13","4:22,5","1:21:45","1,00","4:23","4:34","153","158","7","54","381","4.73","467","5.80","177","234","50,6% L / 49,4% P","1,32","9,8","7,3","65","17,0","3:47","181","4:22,5","4:23","",""
"14","4:48,7","1:26:34","1,00","4:49","4:50","152","158","13","37","386","4.80","509","6.32","175","246","50,4% L / 49,6% P","1,18","9,5","7,9","69","17,0","3:53","184","4:48","4:48","",""
"15","1:55,3","1:28:29","0,40","4:48","5:18","148","155","1","26","339","4.21","420","5.22","173","247","50,3% L / 49,7% P","1,17","10,0","8,3","25","17,0","4:35","177","1:55","4:47","",""
"Podsumowanie","1:28:29","1:28:29","14,40","6:09","5:06","152","166","616","620","359","4.46","579","7.19","167","279","50,4% L / 49,6% P","0,97","8,8","9,4","1.312","17,3","3:08","225","1:28:26","6:08","",""
