"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:23,0","5:23,0","1,00","5:23","5:09","137","143","12","5","384","4.85","459","5.80","173","250","50,1% L / 49,9% P","1,07","9,7","8,9","77","18,0","4:46","178","5:23,0","5:23","--","--"
"2","5:45,2","11:08","1,00","5:45","5:22","142","149","30","3","383","4.84","459","5.80","174","260","50,0% L / 50,0% P","1,00","9,0","8,9","84","15,0","4:48","177","5:45","5:45","--","--"
"3","5:17,2","16:25","1,00","5:17","5:12","140","145","13","12","383","4.84","541","6.84","173","251","50,2% L / 49,8% P","1,09","9,6","8,6","77","13,0","4:36","178","5:17","5:17","--","--"
"4","6:18,3","22:44","1,00","6:18","5:24","144","149","47","0","390","4.93","442","5.59","171","274","50,3% L / 49,7% P","0,93","8,6","9,1","89","12,0","4:59","176","6:18","6:18","--","--"
"5","6:37,8","29:22","1,00","6:38","5:40","144","148","54","0","388","4.90","429","5.42","171","278","50,5% L / 49,5% P","0,89","8,5","9,4","92","12,0","5:44","174","6:37,8","6:38","--","--"
"6","5:31,9","34:53","1,00","5:32","5:27","144","148","13","3","385","4.86","433","5.47","172","257","49,9% L / 50,1% P","1,04","9,7","9,2","77","11,0","5:02","175","5:31,9","5:32","--","--"
"7","5:22,5","40:16","1,00","5:23","5:10","144","152","18","11","403","5.09","465","5.88","172","254","50,0% L / 50,0% P","1,09","9,9","8,9","76","11,0","4:40","176","5:22,5","5:23","--","--"
"8","5:18,2","45:34","1,00","5:18","5:22","142","151","10","19","364","4.60","470","5.94","172","256","49,9% L / 50,1% P","1,08","9,7","8,9","73","10,0","4:52","176","5:18","5:18","--","--"
"9","5:07,7","50:42","1,00","5:08","5:10","143","147","2","9","373","4.71","425","5.37","173","250","49,8% L / 50,2% P","1,13","10,0","8,6","71","10,0","4:47","175","5:07,7","5:08","--","--"
"10","4:27,2","55:09","1,00","4:27","4:50","141","149","0","55","349","4.41","422","5.33","174","236","50,0% L / 50,0% P","1,29","10,5","8,0","58","9,0","4:01","178","4:27","4:27","--","--"
"11","4:33,2","59:42","1,00","4:33","4:46","141","149","0","45","360","4.55","412","5.21","173","241","50,0% L / 50,0% P","1,28","10,4","7,9","60","9,0","3:48","176","4:33","4:33","--","--"
"12","5:18,0","1:05:00","1,00","5:18","5:16","143","149","10","11","380","4.80","463","5.85","171","258","50,0% L / 50,0% P","1,10","9,9","8,8","72","9,0","4:49","176","5:18,0","5:18","--","--"
"13","4:58,5","1:09:59","1,00","4:59","5:17","140","147","1","29","355","4.49","424","5.36","173","251","49,6% L / 50,4% P","1,15","10,1","8,6","63","10,0","4:18","181","4:58","4:58","--","--"
"14","5:04,5","1:15:03","1,00","5:05","5:10","143","149","3","19","374","4.73","440","5.56","172","255","49,8% L / 50,2% P","1,14","10,1","8,6","68","9,0","4:19","175","5:04,5","5:04","--","--"
"15","0:01,4","1:15:05","0,01","2:24","5:13","136","137","0","2","292","3.69","295","3.73","170","247","49,8% L / 50,2% P","1,23","10,6","8,2","0","9,0","4:42","170","0:01","1:42","--","--"
"Podsumowanie","1:15:05","1:15:05","14,01","5:22","5:15","142","152","214","223","378","4.78","541","6.84","172","256","50,0% L / 50,0% P","1,08","9,6","8,8","1.040","11,4","3:48","181","1:15:02","5:21","--","--"
