"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:17,9","5:17,9","1,00","5:18","5:16","137","148","4","1","394","4.92","444","5.54","172","247","50,2% L / 49,8% P","1,10","10,4","9,5","76","21,0","4:56","178","5:17,9","5:18","--","--"
"2","4:10,9","9:28,8","0,76","5:30","5:25","140","149","2","5","374","4.67","481","6.00","169","250","50,8% L / 49,2% P","1,10","10,7","9,6","60","19,0","5:03","171","4:10","5:29","--","--"
"3","0:12,7","9:41,5","0,05","4:21","5:13","139","144","2","0","418","5.22","576","7.19","198","214","50,5% L / 49,5% P","0,99","8,0","8,7","3","19,0","3:54","211","0:12","4:06","--","--"
"4","0:38,8","10:20","0,09","7:01","5:41","150","158","3","4","373","4.66","692","8.64","159","279","50,8% L / 49,2% P","0,98","10,7","11,2","10","19,0","3:52","210","0:38,8","7:01","--","--"
"5","0:10,6","10:31","0,05","3:47","6:00","141","146","0","0","398","4.97","591","7.38","198","228","51,1% L / 48,9% P","1,03","8,0","9,2","2","19,0","3:34","212","0:10,6","3:47","--","--"
"6","1:59,1","12:30","0,36","5:33","5:34","147","157","3","7","369","4.61","621","7.75","166","253","51,8% L / 48,2% P","1,08","11,0","10,1","30","18,0","3:34","208","1:59","5:32","--","--"
"Podsumowanie","12:30","12:30","2,31","5:25","5:23","140","158","15","17","382","4.77","692","8.64","170","250","50,7% L / 49,3% P","1,08","10,6","9,7","182","19,7","3:34","212","12:28","5:25","--","--"
