"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:58,1","4:58,1","1,00","4:58","5:03","134","144","2","3","393","4.97","437","5.52","173","249","49,9% L / 50,1% P","1,16","10,1","8,5","71","16,0","4:50","177","4:58,1","4:58","--","--"
"2","4:59,8","9:57,9","1,00","5:00","4:56","145","149","4","0","403","5.09","447","5.65","174","252","49,7% L / 50,3% P","1,15","9,8","8,3","76","13,0","4:45","184","4:59,8","5:00","--","--"
"3","5:04,1","15:02","1,00","5:04","5:03","145","148","3","0","394","4.98","433","5.47","173","255","49,8% L / 50,2% P","1,14","9,9","8,4","76","12,0","4:53","176","5:04","5:04","--","--"
"4","5:08,9","20:11","1,00","5:09","5:05","147","153","7","1","396","5.00","488","6.17","172","256","49,9% L / 50,1% P","1,13","10,0","8,6","78","11,0","4:59","175","5:08,9","5:09","--","--"
"5","5:05,2","25:16","1,00","5:05","5:04","148","151","2","0","390","4.93","443","5.60","171","255","50,2% L / 49,8% P","1,15","10,2","8,7","77","11,0","4:51","173","5:05","5:05","--","--"
"6","5:05,4","30:22","1,00","5:05","5:08","146","151","0","5","382","4.83","439","5.55","171","254","50,1% L / 49,9% P","1,15","10,3","8,7","75","10,0","4:54","174","5:05,4","5:05","--","--"
"7","5:06,3","35:28","1,00","5:06","5:11","147","154","0","3","380","4.80","432","5.46","171","257","50,4% L / 49,6% P","1,14","10,2","8,7","76","10,0","5:01","175","5:06","5:06","--","--"
"8","5:06,2","40:34","1,00","5:06","5:07","148","153","3","6","387","4.89","478","6.04","172","257","50,3% L / 49,7% P","1,14","10,0","8,6","75","10,0","4:48","175","5:06","5:06","--","--"
"9","5:08,2","45:42","1,00","5:08","5:09","148","153","4","6","386","4.88","465","5.88","172","258","50,3% L / 49,7% P","1,14","10,0","8,6","75","10,0","4:50","176","5:08","5:08","--","--"
"10","5:07,3","50:50","1,00","5:07","5:05","152","157","7","4","399","5.04","461","5.83","172","256","50,3% L / 49,7% P","1,14","10,1","8,6","78","10,0","4:50","175","5:07,3","5:07","--","--"
"11","5:08,3","55:58","1,00","5:08","5:05","153","158","8","7","397","5.02","478","6.04","172","256","50,4% L / 49,6% P","1,13","10,1","8,7","77","10,0","4:56","178","5:08","5:08","--","--"
"12","5:05,4","1:01:03","1,00","5:05","5:06","153","158","2","0","394","4.98","419","5.29","172","254","50,4% L / 49,6% P","1,14","10,1","8,6","77","11,0","5:00","176","5:05","5:05","--","--"
"13","5:07,4","1:06:11","1,00","5:07","5:08","154","157","4","4","387","4.89","445","5.62","172","258","50,4% L / 49,6% P","1,13","10,0","8,6","78","11,0","4:54","175","5:07,4","5:07","--","--"
"14","4:59,9","1:11:10","1,00","5:00","5:02","152","158","1","6","386","4.88","417","5.27","173","257","50,5% L / 49,5% P","1,16","9,8","8,2","75","10,0","4:47","177","4:59,9","5:00","--","--"
"15","4:59,9","1:16:10","1,00","5:00","5:03","153","161","0","4","386","4.88","412","5.21","174","257","50,5% L / 49,5% P","1,15","9,8","8,3","75","10,0","4:50","177","4:59","4:59","--","--"
"16","2:49,7","1:19:00","0,55","5:06","5:04","152","155","0","1","386","4.88","413","5.22","173","260","50,7% L / 49,3% P","1,15","9,8","8,3","42","10,0","4:57","176","2:49,7","5:06","--","--"
"17","2:23,6","1:21:24","0,45","5:18","5:19","153","155","2","0","373","4.71","403","5.09","172","264","50,9% L / 49,1% P","1,08","9,6","8,6","35","10,0","5:07","175","2:23","5:16","--","--"
"Podsumowanie","1:21:24","1:21:24","16,01","5:05","5:05","149","161","52","51","390","4.93","488","6.17","172","256","50,3% L / 49,7% P","1,14","10,0","8,5","1.216","10,9","4:45","184","1:21:21","5:05","--","--"
