"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:39,1","5:39,1","1,00","5:39","5:34","129","140","18","21","378","4.74","448","5.62","174","251","50,3% L / 49,7% P","1,02","9,4","9,1","75","18,0","4:45","182","5:39,1","5:39","",""
"2","6:50,2","12:29","1,00","6:50","6:00","140","147","52","3","380","4.77","471","5.91","178","269","50,4% L / 49,6% P","0,81","7,7","9,3","95","16,0","5:29","185","6:50","6:50","",""
"3","6:44,5","19:14","1,00","6:45","5:43","141","151","56","4","391","4.91","480","6.02","178","270","50,5% L / 49,5% P","0,82","7,7","9,1","96","15,0","5:43","183","6:44,5","6:44","",""
"4","4:55,0","24:09","1,00","4:55","5:11","132","140","4","42","348","4.37","454","5.70","176","242","50,2% L / 49,8% P","1,16","9,9","8,4","65","15,0","4:06","182","4:55","4:55","",""
"5","4:52,4","29:01","1,00","4:52","5:10","132","137","0","35","345","4.33","382","4.79","175","240","50,3% L / 49,7% P","1,17","10,0","8,3","66","14,0","4:26","179","4:52","4:52","",""
"6","4:55,4","33:57","1,00","4:55","5:12","133","138","0","35","341","4.28","367","4.61","175","239","50,2% L / 49,8% P","1,16","9,9","8,3","67","14,0","4:44","179","4:55,4","4:55","",""
"7","5:11,9","39:08","1,00","5:12","5:22","135","145","6","20","355","4.46","458","5.75","175","245","50,2% L / 49,8% P","1,10","9,8","8,7","70","15,0","4:36","177","5:11,9","5:12","",""
"8","5:07,6","44:16","1,00","5:08","5:20","134","139","0","24","344","4.32","386","4.85","174","243","50,1% L / 49,9% P","1,13","10,0","8,6","68","15,0","4:36","177","5:07","5:07","",""
"9","5:13,1","49:29","1,00","5:13","5:21","135","140","1","16","351","4.41","398","5.00","174","245","50,1% L / 49,9% P","1,11","9,9","8,7","70","15,0","4:59","177","5:13","5:13","",""
"10","5:29,2","54:58","1,00","5:29","5:23","138","144","11","8","374","4.69","448","5.62","173","253","50,1% L / 49,9% P","1,06","9,7","8,9","74","16,0","4:58","177","5:29","5:29","",""
"11","5:31,2","1:00:30","1,00","5:31","5:29","141","150","14","6","381","4.78","439","5.51","173","255","50,4% L / 49,6% P","1,04","9,7","9,1","76","17,0","5:01","184","5:31,2","5:31","",""
"12","5:38,0","1:06:08","1,00","5:38","5:35","138","145","12","9","376","4.72","442","5.55","173","254","50,3% L / 49,7% P","1,03","9,8","9,2","75","17,0","4:26","181","5:38","5:38","",""
"13","5:42,5","1:11:50","1,00","5:42","5:30","141","146","18","1","398","5.00","471","5.91","174","257","50,5% L / 49,5% P","1,01","9,4","9,1","77","17,0","5:23","178","5:42","5:42","",""
"14","5:54,4","1:17:44","1,00","5:54","5:30","143","148","33","5","400","5.02","476","5.97","172","263","50,3% L / 49,7% P","0,99","9,4","9,3","82","16,0","5:29","176","5:54,4","5:54","",""
"15","0:01,2","1:17:46","0,01","3:43","5:43","141","141","0","0","316","3.97","316","3.97","169","252","51,1% L / 48,9% P","1,05","10,1","9,5","0","17,0","5:42","169","0:01","3:01","",""
"Podsumowanie","1:17:46","1:17:46","14,01","5:33","5:28","137","151","224","228","370","4.64","480","6.02","175","253","50,3% L / 49,7% P","1,03","9,4","8,9","1.055","15,8","4:06","185","1:17:43","5:33","",""
