"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:52,1","4:52,1","1,00","4:52","5:11","125","134","0","31","354","4.47","411","5.19","173","238","51,1% L / 48,9% P","1,18","10,2","8,6","63","17,0","4:35","179","4:52,1","4:52","--","--"
"2","4:53,6","9:45,7","1,00","4:54","5:05","132","139","0","16","368","4.65","392","4.95","175","242","50,6% L / 49,4% P","1,17","9,8","8,2","70","12,0","4:38","177","4:53","4:53","--","--"
"3","4:50,2","14:36","1,00","4:50","4:54","137","140","0","11","386","4.88","408","5.16","174","240","50,5% L / 49,5% P","1,20","10,2","8,2","71","10,0","4:38","177","4:50,2","4:50","--","--"
"4","5:09,2","19:45","1,00","5:09","5:03","141","146","8","1","398","5.03","433","5.47","171","247","50,5% L / 49,5% P","1,14","10,2","8,8","76","9,0","4:54","174","5:09","5:09","--","--"
"5","5:14,7","25:00","1,00","5:15","5:04","144","148","17","0","407","5.14","447","5.65","170","250","50,5% L / 49,5% P","1,12","10,2","8,8","77","8,0","5:06","173","5:14","5:14","--","--"
"6","5:36,7","30:37","1,00","5:37","5:11","146","151","29","0","411","5.19","509","6.43","170","259","50,3% L / 49,7% P","1,06","9,8","9,2","83","7,0","4:58","174","5:36,7","5:37","--","--"
"7","0:00,8","30:37","0,00","3:23","6:38","142","142","0","0","310","3.92","310","3.92","167","262","50,4% L / 49,6% P","1,00","10,4","10,3","0","7,0","6:37","167","0:00,8","3:23","--","--"
"Podsumowanie","30:37","30:37","6,00","5:06","5:05","138","151","55","59","388","4.90","509","6.43","172","246","50,6% L / 49,4% P","1,14","10,1","8,6","440","10,4","4:35","179","30:36","5:06","--","--"
