"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:12,7","5:12,7","1,00","5:13","5:19","123","133","0","2","360","4.56","398","5.05","181","239","50,0% L / 50,0% P","1,06","9,0","8,4","68","20,0","4:57","184","5:12,7","5:13","",""
"2","5:10,6","10:23","1,00","5:11","5:09","132","136","2","0","353","4.48","408","5.17","184","237","50,2% L / 49,8% P","1,05","8,6","8,0","74","18,0","4:44","186","5:10,6","5:11","",""
"3","4:49,4","15:13","1,00","4:49","4:49","140","144","4","0","380","4.82","411","5.21","184","229","50,0% L / 50,0% P","1,13","9,0","7,8","72","16,0","4:35","188","4:49","4:49","",""
"4","4:52,0","20:05","1,00","4:52","4:49","143","148","4","0","380","4.82","448","5.68","183","230","49,9% L / 50,1% P","1,12","9,1","7,9","74","15,0","4:44","185","4:52","4:52","",""
"5","4:50,3","24:55","1,00","4:50","4:48","142","147","2","0","400","5.07","451","5.72","183","230","49,7% L / 50,3% P","1,13","9,3","7,9","72","14,0","4:34","185","4:50,3","4:50","",""
"6","4:46,0","29:41","1,00","4:46","4:49","141","145","0","4","420","5.32","446","5.65","182","229","49,6% L / 50,4% P","1,16","9,5","8,0","71","14,0","4:36","190","4:46","4:46","",""
"7","4:49,9","34:31","1,00","4:50","4:54","141","145","1","4","408","5.17","471","5.97","180","232","49,7% L / 50,3% P","1,15","9,5","8,1","70","14,0","4:33","182","4:49,9","4:50","",""
"8","4:46,1","39:17","1,00","4:46","4:47","141","146","1","6","425","5.39","468","5.93","180","231","49,7% L / 50,3% P","1,17","9,7","8,0","69","14,0","4:31","183","4:46","4:46","",""
"9","4:50,2","44:07","1,00","4:50","4:50","143","147","0","2","396","5.02","448","5.68","179","233","49,8% L / 50,2% P","1,16","9,8","8,2","71","14,0","4:40","184","4:50","4:50","",""
"10","4:54,5","49:02","1,00","4:54","4:52","144","148","2","0","395","5.01","450","5.70","178","235","49,7% L / 50,3% P","1,15","9,7","8,3","71","14,0","4:45","182","4:54","4:54","",""
"11","4:56,5","53:58","1,00","4:56","4:54","145","147","0","0","379","4.80","417","5.29","179","235","49,6% L / 50,4% P","1,14","9,6","8,2","72","13,0","4:26","181","4:56,5","4:56","",""
"12","4:47,6","58:46","1,00","4:48","4:51","144","147","1","6","419","5.31","446","5.65","180","233","49,7% L / 50,3% P","1,16","9,7","8,2","69","14,0","4:35","183","4:47","4:47","",""
"13","4:47,6","1:03:34","1,00","4:48","4:51","143","147","1","2","395","5.01","482","6.11","179","235","49,7% L / 50,3% P","1,16","9,7","8,1","68","14,0","4:35","183","4:47,6","4:48","",""
"14","0:00,8","1:03:34","0,01","2:33","4:39","143","143","0","0","412","5.22","412","5.22","180","228","49,8% L / 50,2% P","1,24","9,6","7,6","0","14,0","4:35","180","0:00,8","2:33","",""
"Podsumowanie","1:03:34","1:03:34","13,01","4:53","4:54","140","148","19","26","393","4.98","482","6.11","181","233","49,8% L / 50,2% P","1,13","9,4","8,1","920","15,0","4:26","190","1:03:32","4:53","",""
