"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:00,7","5:00,7","1,00","5:01","5:20","123","135","0","33","333","4.21","424","5.36","171","251","--","1,16","9,0","7,8","65","16,0","4:48","177","4:59","4:59","--","--"
"2","5:44,7","10:45","1,00","5:45","5:21","134","139","27","9","366","4.62","461","5.83","173","262","--","1,02","8,5","8,4","81","13,0","4:48","177","5:44","5:44","--","--"
"3","6:40,5","17:26","1,00","6:40","5:26","141","146","66","0","392","4.95","422","5.33","172","273","--","0,87","8,0","9,1","96","13,0","6:17","179","6:40,5","6:41","--","--"
"4","6:26,2","23:52","1,00","6:26","5:26","140","148","56","20","376","4.75","436","5.51","171","274","--","0,88","8,0","9,2","89","12,0","4:19","184","6:26","6:26","--","--"
"5","4:12,5","28:05","1,00","4:12","4:35","130","135","0","85","332","4.20","384","4.85","175","231","--","1,38","9,7","7,0","49","10,0","3:52","184","4:12,5","4:12","--","--"
"6","7:29,3","35:34","1,00","7:29","5:52","138","149","81","5","371","4.69","421","5.32","168","285","--","0,80","7,8","9,9","99","11,0","4:22","174","7:29","7:29","--","--"
"7","5:40,7","41:15","1,00","5:41","5:26","142","148","29","45","344","4.35","440","5.56","171","264","--","1,01","8,6","8,6","78","10,0","4:31","178","5:40,7","5:41","--","--"
"8","4:39,2","45:54","1,00","4:39","5:02","134","140","0","71","313","3.96","396","5.00","172","245","--","1,27","9,5","7,5","56","9,0","4:12","176","4:39","4:39","--","--"
"9","4:39,6","50:33","1,00","4:40","4:59","133","137","0","42","346","4.37","400","5.05","173","243","--","1,25","9,2","7,4","57","9,0","4:20","177","4:39","4:39","--","--"
"10","5:01,6","55:35","1,00","5:02","5:07","137","140","0","10","352","4.45","406","5.13","174","251","--","1,14","8,9","7,8","68","9,0","4:47","177","5:01,6","5:02","--","--"
"11","5:36,7","1:01:12","1,00","5:37","5:27","137","142","11","0","356","4.50","412","5.21","169","263","--","1,07","8,9","8,3","75","10,0","5:15","176","5:36,7","5:37","--","--"
"12","5:26,0","1:06:38","1,00","5:26","5:14","142","147","17","0","381","4.81","427","5.40","172","260","--","1,08","8,8","8,2","75","10,0","5:14","176","5:26","5:26","--","--"
"13","5:50,2","1:12:28","1,00","5:50","5:22","141","147","30","0","383","4.84","442","5.59","171","266","--","1,02","8,6","8,6","80","9,0","5:19","177","5:50","5:50","--","--"
"14","0:01,4","1:12:29","0,00","5:02","5:44","147","147","0","0","335","4.23","335","4.23","165","287","--","0,86","8,3","9,6","0","9,0","7:02","165","0:01","3:42","--","--"
"Podsumowanie","1:12:29","1:12:29","13,00","5:34","5:18","137","149","317","319","360","4.55","461","5.83","171","261","--","1,05","8,7","8,4","967","10,9","3:52","184","1:12:25","5:34","--","--"
