"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","10:40","10:40","1,00","10:41","5:06","146","157","164","0","368","4.62","563","7.07","154","345","50,7% L / 49,3% P","0,64","6,6","10,3","148","21,0","5:39","180","10:40","10:40","",""
"2","9:14,9","19:55","1,00","9:15","4:57","148","156","119","19","362","4.54","531","6.67","153","338","50,3% L / 49,7% P","0,68","7,4","11,1","133","17,0","4:13","183","9:14,9","9:15","",""
"3","5:22,7","25:18","1,00","5:23","5:20","142","148","16","24","374","4.69","540","6.78","171","253","50,5% L / 49,5% P","1,10","9,9","8,8","80","13,0","4:38","180","5:22,7","5:23","",""
"4","5:23,4","30:41","1,00","5:23","5:41","136","144","10","79","298","3.74","499","6.26","170","258","50,6% L / 49,4% P","1,08","9,9","8,9","68","13,0","4:30","190","5:23","5:23","",""
"5","4:23,5","35:05","1,00","4:24","4:49","142","148","0","65","359","4.51","472","5.92","175","235","50,6% L / 49,4% P","1,30","10,0","7,4","66","12,0","3:31","197","4:23,5","4:23","",""
"6","5:26,8","40:32","1,00","5:27","5:24","143","150","13","30","365","4.58","499","6.26","171","255","50,3% L / 49,7% P","1,08","9,7","8,8","81","13,0","4:33","213","5:26","5:26","",""
"7","6:15,9","46:48","1,00","6:16","5:21","146","158","52","37","365","4.58","497","6.24","167","277","50,8% L / 49,2% P","0,96","9,3","9,5","89","14,0","4:35","193","6:15,9","6:16","",""
"8","5:18,9","52:07","1,00","5:19","5:21","142","151","21","74","325","4.08","498","6.25","171","260","50,5% L / 49,5% P","1,07","9,6","8,9","72","14,0","3:48","190","5:18,9","5:19","",""
"9","4:35,0","56:42","1,00","4:35","4:45","145","151","9","52","371","4.66","463","5.81","175","241","50,2% L / 49,8% P","1,26","9,8","7,6","65","13,0","3:42","187","4:35,0","4:35","",""
"10","4:57,1","1:01:39","1,00","4:57","5:00","144","150","10","30","361","4.53","454","5.70","174","248","50,2% L / 49,8% P","1,17","9,6","8,0","69","13,0","3:56","181","4:57","4:57","",""
"11","0:01,4","1:01:40","0,01","2:45","4:59","140","141","0","0","368","4.62","370","4.64","171","245","49,4% L / 50,6% P","1,23","10,2","8,1","0","12,0","4:41","171","0:01","2:02","",""
"Podsumowanie","1:01:40","1:01:40","10,01","6:10","5:09","144","158","415","409","356","4.47","563","7.07","166","282","50,5% L / 49,5% P","0,97","8,8","9,2","871","15,1","3:31","213","1:01:38","6:10","",""
