"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:20,0","5:20,0","1,00","5:20","5:13","141","148","20","3","400","5.02","531","6.67","173","243","50,1% L / 49,9% P","1,07","9,8","9,0","77","18,0","4:41","180","5:20,0","5:20","--","--"
"2","4:53,3","10:13","1,00","4:53","4:49","144","149","5","8","401","5.04","506","6.36","175","235","50,4% L / 49,6% P","1,18","9,9","8,3","74","15,0","3:26","195","4:53","4:53","--","--"
"3","5:11,4","15:25","1,00","5:11","5:04","144","148","15","0","401","5.04","450","5.65","174","243","50,2% L / 49,8% P","1,10","9,8","8,6","77","14,0","5:03","177","5:11","5:11","--","--"
"4","5:22,3","20:47","1,00","5:22","5:08","145","150","18","0","404","5.07","450","5.65","172","246","50,1% L / 49,9% P","1,09","10,0","8,9","79","14,0","5:08","176","5:22,3","5:22","--","--"
"5","6:11,8","26:59","1,00","6:12","5:25","148","153","50","0","406","5.10","505","6.34","171","263","50,4% L / 49,6% P","0,94","9,3","9,7","90","14,0","5:19","175","6:11,8","6:12","--","--"
"6","6:11,7","33:11","1,00","6:12","5:31","149","153","44","1","402","5.05","484","6.08","170","263","50,6% L / 49,4% P","0,94","9,4","9,9","90","15,0","4:56","173","6:11","6:11","--","--"
"7","5:39,8","38:50","1,00","5:40","5:16","149","155","37","17","396","4.97","496","6.23","171","256","50,4% L / 49,6% P","1,01","9,5","9,3","83","15,0","3:54","179","5:39,8","5:40","--","--"
"8","4:18,5","43:09","1,00","4:19","4:34","148","157","0","43","369","4.63","451","5.66","176","217","50,6% L / 49,4% P","1,33","10,5","7,6","64","14,0","3:59","178","4:18,5","4:19","--","--"
"9","4:28,5","47:37","1,00","4:29","4:44","147","150","0","37","371","4.66","404","5.07","175","223","50,5% L / 49,5% P","1,29","10,4","7,9","65","15,0","4:22","178","4:28","4:28","--","--"
"10","4:42,6","52:20","1,00","4:43","4:47","148","157","7","24","389","4.89","494","6.20","175","232","50,1% L / 49,9% P","1,23","10,2","8,1","69","14,0","4:23","178","4:42,6","4:43","--","--"
"11","5:03,6","57:24","1,00","5:04","5:12","149","154","9","15","381","4.79","481","6.04","173","245","50,2% L / 49,8% P","1,12","10,1","8,8","73","14,0","4:01","179","5:03","5:03","--","--"
"12","4:44,5","1:02:08","1,00","4:44","4:54","147","152","2","23","381","4.79","462","5.80","175","233","50,1% L / 49,9% P","1,21","10,3","8,3","67","14,0","4:25","177","4:44,5","4:45","--","--"
"13","4:54,3","1:07:02","1,00","4:54","4:56","148","151","4","8","392","4.92","443","5.56","174","241","50,1% L / 49,9% P","1,17","10,2","8,5","70","13,0","4:27","176","4:54","4:54","--","--"
"14","4:38,5","1:11:41","1,00","4:39","4:51","145","151","0","30","375","4.71","449","5.64","175","232","50,0% L / 50,0% P","1,24","10,3","8,1","64","12,0","4:00","186","4:38,5","4:39","--","--"
"15","4:59,4","1:16:40","1,00","4:59","4:59","148","152","5","8","397","4.99","460","5.78","173","242","50,2% L / 49,8% P","1,16","10,3","8,7","72","12,0","4:43","176","4:59","4:59","--","--"
"16","0:00,8","1:16:41","0,00","3:19","5:14","148","148","0","0","433","5.44","433","5.44","168","247","49,9% L / 50,1% P","1,13","12,1","9,6","0","12,0","5:24","168","0:00,8","3:19","--","--"
"Podsumowanie","1:16:41","1:16:41","15,00","5:07","5:02","147","157","215","218","392","4.92","531","6.67","173","242","50,3% L / 49,7% P","1,13","10,0","8,7","1.114","14,2","3:26","195","1:16:38","5:06","--","--"
