"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:14,6","5:14,6","1,00","5:15","5:22","125","132","4","4","349","4.44","415","5.27","178","241","50,0% L / 50,0% P","1,06","9,3","8,6","69","18,0","4:45","182","5:12","5:12","",""
"2","5:12,9","10:28","1,00","5:13","5:11","133","137","7","0","354","4.50","382","4.85","181","240","50,0% L / 50,0% P","1,06","8,9","8,2","74","16,0","5:00","183","5:12,9","5:13","",""
"3","5:12,2","15:40","1,00","5:12","5:11","134","139","6","3","358","4.55","393","4.99","181","240","50,3% L / 49,7% P","1,06","9,0","8,3","74","15,0","4:59","184","5:12","5:12","",""
"4","5:11,8","20:51","1,00","5:12","5:08","136","140","8","5","363","4.61","415","5.27","181","241","50,3% L / 49,7% P","1,06","9,0","8,3","75","14,0","5:00","183","5:11,8","5:12","",""
"5","5:15,1","26:07","1,00","5:15","5:14","136","139","9","8","364","4.63","386","4.91","182","241","50,2% L / 49,8% P","1,05","9,0","8,4","74","14,0","5:08","185","5:15","5:15","",""
"6","5:13,6","31:20","1,00","5:14","5:17","135","139","1","4","368","4.68","416","5.29","182","242","50,2% L / 49,8% P","1,05","9,0","8,4","73","13,0","5:05","185","5:13,6","5:14","",""
"7","5:14,3","36:34","1,00","5:14","5:18","135","139","2","8","364","4.63","419","5.32","181","243","50,2% L / 49,8% P","1,06","9,1","8,4","72","13,0","4:47","184","5:14","5:14","",""
"8","5:14,0","41:48","1,00","5:14","5:10","134","138","2","5","446","5.67","653","8.30","181","246","50,3% L / 49,7% P","1,06","9,0","8,3","71","13,0","5:02","184","5:14","5:14","",""
"9","5:20,0","47:08","1,00","5:20","5:03","134","139","7","10","388","4.93","517","6.57","181","246","50,1% L / 49,9% P","1,04","9,1","8,5","71","13,0","5:04","186","5:20","5:20","",""
"10","5:15,9","52:24","1,00","5:16","5:19","137","141","5","4","370","4.70","458","5.82","181","242","50,0% L / 50,0% P","1,05","9,1","8,5","72","13,0","4:51","184","5:15,9","5:16","",""
"11","5:09,8","57:34","1,00","5:10","5:17","137","145","7","9","377","4.79","423","5.38","181","243","50,1% L / 49,9% P","1,07","9,2","8,4","70","13,0","4:59","185","5:09,8","5:10","",""
"12","0:00,8","57:35","0,01","2:35","5:19","138","138","0","0","405","5.15","405","5.15","179","241","50,3% L / 49,7% P","1,10","10,3","8,5","0","13,0","5:09","179","0:00,8","2:35","",""
"Podsumowanie","57:35","57:35","11,01","5:14","5:14","134","145","58","60","373","4.74","653","8.30","181","242","50,2% L / 49,8% P","1,06","9,1","8,4","793","14,1","4:45","186","57:32","5:14","",""
