"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:26,0","5:26,0","1,00","5:26","5:26","128","141","13","22","361","4.51","485","6.06","173","247","50,7% L / 49,3% P","1,07","9,6","8,8","74","19,0","4:33","179","5:24","5:24","--","--"
"2","6:24,8","11:51","1,00","6:25","5:28","141","148","53","0","403","5.04","486","6.07","173","269","50,1% L / 49,9% P","0,89","8,6","9,4","93","16,0","5:29","177","6:24,8","6:25","--","--"
"3","6:34,5","18:25","1,00","6:34","5:37","142","149","57","0","398","4.97","464","5.80","173","272","50,4% L / 49,6% P","0,88","8,5","9,5","95","15,0","5:48","178","6:34,5","6:35","--","--"
"4","4:52,5","23:18","1,00","4:52","5:12","133","142","4","42","343","4.29","494","6.17","175","237","49,9% L / 50,1% P","1,16","9,9","8,4","65","13,0","4:24","178","4:52","4:52","--","--"
"5","4:43,8","28:02","1,00","4:44","5:02","135","141","0","37","355","4.44","399","4.99","175","233","49,8% L / 50,2% P","1,21","10,0","8,1","65","12,0","4:26","177","4:43,8","4:44","--","--"
"6","4:47,3","32:49","1,00","4:47","5:03","136","139","0","34","359","4.49","438","5.47","174","235","49,5% L / 50,5% P","1,20","10,1","8,2","66","11,0","4:31","177","4:47","4:47","--","--"
"7","5:46,5","38:35","1,00","5:47","5:32","139","150","18","9","376","4.70","506","6.32","171","261","50,1% L / 49,9% P","1,02","9,5","9,1","79","11,0","4:49","176","5:46,5","5:47","--","--"
"8","4:51,7","43:27","1,00","4:52","5:14","135","143","0","46","342","4.27","394","4.92","174","238","50,0% L / 50,0% P","1,18","10,1","8,4","62","11,0","4:18","180","4:51,7","4:52","--","--"
"9","5:48,0","49:15","1,00","5:48","5:28","140","145","21","3","385","4.81","449","5.61","171","263","50,2% L / 49,8% P","1,02","9,5","9,2","78","10,0","4:54","175","5:48","5:48","--","--"
"10","7:02,8","56:18","1,00","7:03","5:53","144","149","62","0","389","4.86","451","5.64","170","280","50,8% L / 49,2% P","0,84","8,5","9,9","93","11,0","6:25","176","7:02,8","7:03","--","--"
"11","7:23,8","1:03:42","1,00","7:24","5:48","148","154","75","2","381","4.76","467","5.84","169","287","50,6% L / 49,4% P","0,78","8,0","10,0","101","12,0","5:42","175","7:23","7:23","--","--"
"12","4:27,6","1:08:09","1,00","4:28","4:59","136","145","0","80","313","3.91","371","4.64","175","228","49,7% L / 50,3% P","1,26","10,3","8,0","52","12,0","3:49","180","4:27,6","4:28","--","--"
"13","2:10,9","1:10:20","0,51","4:16","4:32","145","151","0","33","345","4.31","399","4.99","177","221","50,7% L / 49,3% P","1,35","10,3","7,4","30","11,0","3:44","184","2:10","4:14","--","--"
"Podsumowanie","1:10:20","1:10:20","12,51","5:37","5:23","139","154","302","308","370","4.62","506","6.32","173","256","50,2% L / 49,8% P","1,03","9,3","9,0","952","12,7","3:44","184","1:10:16","5:37","--","--"
