"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:20,3","5:20,3","1,00","5:20","5:16","127","145","16","20","364","4.54","483","6.03","170","257","--","1,11","8,9","8,1","74","22,0","4:22","177","5:19","5:19","--","--"
"2","6:23,8","11:44","1,00","6:24","5:38","139","145","47","1","381","4.76","473","5.90","173","271","--","0,89","8,0","9,0","93","18,0","5:24","177","6:23,8","6:24","--","--"
"3","6:21,8","18:06","1,00","6:22","5:26","142","151","55","2","393","4.91","514","6.42","171","272","--","0,91","8,2","9,0","95","16,0","5:21","179","6:21,8","6:22","--","--"
"4","4:31,6","22:38","1,00","4:32","4:46","138","143","3","44","356","4.44","491","6.13","175","239","--","1,26","9,2","7,3","67","15,0","3:50","181","4:31","4:31","--","--"
"5","4:30,7","27:08","1,00","4:31","4:46","137","144","0","36","361","4.51","412","5.14","174","241","--","1,28","9,4","7,3","64","14,0","4:09","177","4:30,7","4:31","--","--"
"6","4:37,1","31:45","1,00","4:37","4:53","134","136","0","34","357","4.46","372","4.64","173","244","--","1,25","9,4","7,5","63","14,0","4:25","176","4:37","4:37","--","--"
"7","4:54,3","36:40","1,00","4:54","5:02","138","145","5","20","364","4.54","497","6.20","173","250","--","1,17","9,1","7,7","70","13,0","4:35","177","4:54,3","4:54","--","--"
"8","4:50,3","41:30","1,00","4:50","5:01","133","137","0","21","359","4.48","383","4.78","173","248","--","1,19","9,1","7,7","65","13,0","4:35","177","4:50","4:50","--","--"
"9","4:47,2","46:17","1,00","4:47","4:58","135","137","0","18","364","4.54","397","4.96","174","247","--","1,19","9,1","7,6","67","12,0","4:30","177","4:47","4:47","--","--"
"10","5:06,9","51:24","1,00","5:07","4:59","139","141","10","6","388","4.84","430","5.37","171","255","--","1,15","9,1","7,9","72","12,0","4:29","174","5:06,9","5:07","--","--"
"11","5:14,8","56:39","1,00","5:15","5:10","140","146","12","3","380","4.74","436","5.44","173","256","--","1,10","8,8","8,1","77","12,0","4:59","177","5:14,8","5:15","--","--"
"12","5:16,3","1:01:55","1,00","5:16","5:11","136","138","7","1","373","4.66","404","5.04","173","256","--","1,10","8,8","8,0","75","12,0","5:04","177","5:16","5:16","--","--"
"13","5:29,3","1:07:24","1,00","5:29","5:21","140","147","15","0","370","4.62","405","5.05","173","259","--","1,04","8,6","8,2","78","12,0","5:20","177","5:29","5:29","--","--"
"14","5:36,6","1:13:01","1,00","5:37","5:15","142","146","29","5","388","4.84","471","5.88","172","262","--","1,03","8,6","8,4","78","12,0","4:51","176","5:36,6","5:37","--","--"
"15","0:01,1","1:13:02","0,01","2:50","5:26","138","138","0","0","344","4.29","344","4.29","172","257","--","1,10","8,9","8,0","0","12,0","5:15","172","0:01","2:36","--","--"
"Podsumowanie","1:13:02","1:13:02","14,01","5:13","5:08","137","151","199","209","372","4.64","514","6.42","173","255","--","1,11","8,8","8,1","1.038","14,2","3:50","181","1:12:59","5:13","--","--"
