"Okrążenia","Czas","Łączny czas","Dystansm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:57,0","4:57,0","1.000","4:57","--","135","144","0","0","390","4.90","418","5.25","174","238","49,8% L / 50,2% P","1,18","10,1","8,4","70","21,0","4:38","176","4:57,0","4:57","--","--"
"2","4:58,5","9:55,5","1.000","4:59","--","143","148","0","0","393","4.94","434","5.45","173","242","49,9% L / 50,1% P","1,17","10,1","8,4","75","18,0","4:31","176","4:58,5","4:59","--","--"
"3","0:01,3","9:56,8","10","4:59","--","148","148","0","0","388","4.87","388","4.87","170","249","50,1% L / 49,9% P","1,17","10,4","8,5","0","17,0","4:31","170","0:01","1:40","--","--"
"Podsumowanie","9:56,8","9:56,8","2.010","4:57","--","139","148","0","0","392","4.92","434","5.45","174","240","49,8% L / 50,2% P","1,18","10,1","8,4","145","19,5","4:31","176","9:56,5","4:57","--","--"
