"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","10:55","10:55","2,00","5:27","5:29","126","147","7","12","176","256","50,3% L / 49,7% P","1,04","9,3","8,8","360","357","4.47","598","7.49","146","19,0","3:09","207","10:52","5:26"
"","1","Bieg","4","1:23,9","12:19","0,40","3:30","3:35","149","166","2","1","195","197","50,2% L / 49,8% P","1,39","8,3","6,0","495","520","6.51","568","7.11","25","17,0","3:26","198","1:23,9","3:30"
"","","Regeneracja","5","1:25","13:44","0,18","7:44","7:03","146","167","3","0","163","304","50,2% L / 49,8% P","0,85","8,6","9,9","379","288","3.61","621","7.77","20","16,0","3:29","193","1:23","7:33"
"","2","Bieg","6","1:25,4","15:09","0,40","3:33","3:42","151","162","0","4","188","201","50,3% L / 49,7% P","1,43","9,1","6,5","457","477","5.97","524","6.56","25","16,0","3:21","191","1:25,4","3:33"
"","","Regeneracja","7","1:25","16:34","0,20","6:56","6:53","140","161","0","1","163","298","50,4% L / 49,6% P","0,90","9,2","10,0","337","281","3.52","487","6.10","19","16,0","3:39","188","1:23","6:46"
"","3","Bieg","8","1:24,7","17:59","0,40","3:32","3:33","156","169","2","0","193","197","50,4% L / 49,6% P","1,44","8,5","5,9","498","526","6.58","598","7.49","25","15,0","3:15","196","1:24","3:30"
"","","Regeneracja","9","1:25","19:24","0,18","7:59","7:31","148","170","2","0","160","321","50,2% L / 49,8% P","0,82","8,1","9,8","373","270","3.38","575","7.20","20","15,0","3:35","189","1:23","7:47"
"","4","Bieg","10","1:23,4","20:47","0,40","3:29","3:41","155","166","0","3","192","199","50,5% L / 49,5% P","1,45","8,5","6,0","446","470","5.88","535","6.70","24","15,0","3:24","195","1:23,4","3:29"
"","","Regeneracja","11","1:25","22:12","0,19","7:32","7:00","147","165","0","0","159","315","50,4% L / 49,6% P","0,89","8,7","9,6","336","268","3.35","510","6.38","19","15,0","3:32","191","1:23","7:22"
"","5","Bieg","12","1:25,6","23:38","0,40","3:34","3:36","156","170","2","1","194","198","50,7% L / 49,3% P","1,41","8,3","6,0","494","524","6.56","574","7.18","25","15,0","3:17","197","1:25","3:33"
"","","Regeneracja","13","1:25","25:03","0,17","8:13","7:36","150","171","4","0","159","325","50,2% L / 49,8% P","0,80","7,9","9,8","366","264","3.30","577","7.22","20","14,0","3:39","194","1:23","8:01"
"","6","Bieg","14","1:24,0","26:27","0,40","3:30","3:39","154","167","0","3","193","199","50,4% L / 49,6% P","1,45","8,5","5,9","453","475","5.95","537","6.72","24","14,0","3:13","197","1:24","3:30"
"","","Regeneracja","15","1:25","27:52","0,18","8:05","7:37","147","169","0","1","158","327","50,1% L / 49,9% P","0,85","8,4","9,7","322","248","3.10","515","6.45","19","14,0","3:33","191","1:23","7:54"
"","7","Bieg","16","1:25,5","29:17","0,40","3:34","3:42","158","170","2","0","193","198","50,5% L / 49,5% P","1,41","8,4","6,0","486","513","6.42","563","7.05","25","14,0","3:21","197","1:25,5","3:34"
"","","Regeneracja","17","1:25","30:42","0,18","7:56","7:34","150","172","2","0","159","325","50,2% L / 49,8% P","0,81","7,9","9,6","369","266","3.33","581","7.27","20","14,0","3:45","191","1:23","7:45"
"","8","Bieg","18","1:24,8","32:07","0,40","3:32","4:07","154","167","0","3","192","199","50,5% L / 49,5% P","1,28","8,5","6,8","412","430","5.38","557","6.97","23","14,0","3:35","195","1:24,8","3:32"
"","","Regeneracja","19","1:25","33:32","0,18","8:01","7:08","152","169","0","1","158","321","50,3% L / 49,7% P","0,87","8,2","9,4","324","253","3.17","503","6.30","19","14,0","3:35","193","1:23","7:49"
"","9","Bieg","20","1:24,9","34:57","0,40","3:32","3:32","159","171","4","1","195","196","50,7% L / 49,3% P","1,43","8,2","5,7","492","528","6.61","568","7.11","25","14,0","3:27","198","1:24,9","3:32"
"","","Regeneracja","21","1:25","36:22","0,17","8:18","7:29","151","172","4","0","158","330","50,1% L / 49,9% P","0,81","7,6","9,2","383","259","3.24","620","7.76","20","14,0","3:33","190","1:23","8:07"
"","10","Bieg","22","1:25,5","37:47","0,40","3:34","3:46","155","168","0","5","193","199","50,4% L / 49,6% P","1,42","8,4","6,0","437","462","5.78","526","6.58","24","14,0","3:27","195","1:25","3:33"
"","","Regeneracja","23","1:25","39:12","0,17","8:12","7:21","147","168","0","1","159","322","50,4% L / 49,6% P","0,88","8,0","9,3","334","251","3.14","516","6.46","18","13,0","3:33","191","1:23","8:00"
"","11","Bieg","24","1:25,3","40:38","0,40","3:33","3:33","158","172","2","0","194","198","50,5% L / 49,5% P","1,43","8,1","5,8","492","522","6.53","578","7.24","25","14,0","3:21","197","1:25","3:33"
"","","Regeneracja","25","1:25","42:03","0,17","8:29","7:48","153","173","2","0","158","329","50,0% L / 50,0% P","0,81","7,6","9,2","362","248","3.10","562","7.03","20","14,0","3:34","186","1:23","8:17"
"","12","Bieg","26","1:24,9","43:27","0,40","3:32","3:48","156","168","0","3","193","200","50,4% L / 49,6% P","1,40","8,3","6,0","436","458","5.73","504","6.31","25","14,0","3:24","196","1:24,9","3:32"
"","","Regeneracja","27","1:25","44:52","0,17","8:34","7:50","150","170","0","1","157","325","50,3% L / 49,7% P","0,82","7,8","9,4","321","233","2.92","513","6.42","18","13,0","3:37","190","1:23","8:22"
"","13","Bieg","28","1:24,1","46:17","0,40","3:30","3:37","159","173","2","0","197","194","50,6% L / 49,4% P","1,40","7,9","5,8","483","515","6.45","557","6.97","25","13,0","3:29","200","1:24","3:30"
"","","Regeneracja","29","1:25","47:42","0,16","8:48","7:44","154","174","3","0","157","333","49,9% L / 50,1% P","0,78","7,3","9,2","373","249","3.12","634","7.94","20","13,0","3:33","195","1:23","8:36"
"","14","Bieg","30","1:23,7","49:05","0,40","3:29","3:40","157","169","0","4","195","193","50,3% L / 49,8% P","1,42","8,2","6,0","448","467","5.85","592","7.41","24","13,0","3:07","200","1:23,7","3:29"
"","","Schładzanie","31 - 32","10:34","59:40","1,61","6:34","6:30","132","170","16","12","171","276","50,5% L / 49,5% P","0,89","8,8","9,7","327","311","3.89","513","6.42","132","14,0","3:31","192","10:34","6:34"
"","Podsumowanie","--","--","59:40","59:40","11,50","5:11","5:11","144","174","61","62","176","260","50,4% L / 49,6% P","1,08","8,5","8,3","402","364","4.56","634","7.94","875","15,1","3:07","207","59:25","5:10"
