"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:37,9","5:37,9","1,00","5:38","5:27","133","143","23","3","396","4.95","551","6.89","173","258","50,4% L / 49,6% P","1,01","9,4","9,1","79","23,0","5:01","180","5:37,9","5:38","",""
"2","5:09,9","10:48","1,00","5:10","5:04","137","141","8","11","386","4.83","449","5.62","175","249","49,9% L / 50,1% P","1,11","9,6","8,4","78","21,0","4:06","182","5:09,9","5:10","",""
"3","5:30,7","16:18","1,00","5:31","5:20","139","144","13","0","388","4.85","465","5.82","175","256","49,9% L / 50,1% P","1,04","9,3","8,8","80","19,0","5:25","178","5:30","5:30","",""
"4","5:35,2","21:54","1,00","5:35","5:21","139","143","19","2","401","5.02","501","6.27","175","257","50,3% L / 49,8% P","1,03","9,4","8,9","81","19,0","4:59","180","5:35","5:35","",""
"5","6:28,7","28:22","1,00","6:29","5:33","144","150","56","0","428","5.35","512","6.40","174","270","50,1% L / 49,9% P","0,88","8,7","9,7","95","18,0","5:32","182","6:28,7","6:29","",""
"6","4:56,8","33:19","1,00","4:57","4:57","139","149","7","27","409","5.12","519","6.49","174","244","50,5% L / 49,5% P","1,16","10,0","8,4","71","17,0","4:22","177","4:56,8","4:57","",""
"7","4:45,0","38:04","1,00","4:45","4:54","136","142","0","28","380","4.75","465","5.82","174","243","50,6% L / 49,4% P","1,22","10,2","8,1","65","17,0","4:35","177","4:45","4:45","",""
"8","4:45,9","42:50","1,00","4:46","4:55","139","144","5","23","380","4.75","502","6.28","175","241","50,6% L / 49,4% P","1,20","10,0","8,1","68","18,0","4:27","177","4:45,9","4:46","",""
"9","4:44,7","47:35","1,00","4:45","4:53","140","145","0","19","381","4.77","429","5.37","175","246","50,4% L / 49,6% P","1,21","9,9","8,0","68","18,0","4:30","179","4:44","4:44","",""
"10","4:49,5","52:24","1,00","4:50","4:58","140","145","1","17","383","4.79","660","8.26","174","248","50,4% L / 49,6% P","1,19","10,0","8,2","70","18,0","4:38","185","4:49,5","4:50","",""
"11","2:34,2","54:58","0,51","5:04","5:04","142","145","2","6","385","4.82","457","5.72","174","254","50,5% L / 49,5% P","1,14","9,8","8,4","37","18,0","4:46","177","2:33","5:02","",""
"Podsumowanie","54:58","54:58","10,51","5:14","5:09","139","150","133","137","394","4.93","660","8.26","174","252","50,3% L / 49,7% P","1,10","9,6","8,6","791","18,8","4:06","185","54:56","5:14","",""
