"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1","3:42,6","3:42,6","0,63","5:51","5:34","134","143","10","0","174","253","50,5% L / 49,5% P","0,99","9,4","9,4","374","370","4.62","424","5.29","51","20,0","5:18","180","3:40","5:47"
"","1","Bieg","2","0:13,8","3:56,4","0,06","3:32","4:54","138","145","1","0","193","207","50,4% L / 49,6% P","1,19","8,1","7,7","370","442","5.52","604","7.54","3","18,0","3:18","203","0:13","3:20"
"","","Regeneracja","3","1:21,2","5:17,6","0,19","7:00","6:14","145","155","5","0","166","281","50,2% L / 49,8% P","0,91","9,3","10,1","377","345","4.31","633","7.90","19","17,0","3:18","201","1:20","6:54"
"","2","Bieg","4","0:12,8","5:30,3","0,07","3:16","5:08","136","137","1","0","196","210","49,9% L / 50,1% P","1,16","7,9","7,9","338","434","5.42","629","7.85","3","17,0","3:10","209","0:12","3:05"
"","","Regeneracja","5","3:16,0","8:46,3","0,59","5:30","5:37","139","157","1","15","169","254","51,6% L / 48,4% P","1,09","10,2","9,3","363","355","4.43","707","8.82","45","16,0","3:00","204","3:15","5:29"
"","3","Bieg","6 - 7","2:18,2","11:04","0,46","5:03","5:21","144","156","0","7","171","248","51,4% L / 48,6% P","1,15","10,2","8,8","373","369","4.61","671","8.37","34","15,0","2:46","210","0:08","0:18"
"","Podsumowanie","--","--","11:04","11:04","2,01","5:31","5:35","139","157","18","22","172","254","50,9% L / 49,1% P","1,05","9,7","9,3","370","365","4.56","707","8.82","156","17,3","2:46","210","11:03","5:31"
