"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:57,4","4:57,4","1,00","4:57","5:15","127","137","2","33","350","4.29","434","5.32","173","236","51,2% L / 48,8% P","1,16","9,9","8,4","67","16,0","4:38","177","4:57,4","4:57","--","--"
"2","5:28,9","10:26","1,00","5:29","5:17","136","142","20","10","387","4.75","502","6.16","173","251","51,1% L / 48,9% P","1,06","9,3","8,7","80","12,0","4:52","177","5:28,9","5:29","--","--"
"3","6:42,2","17:08","1,00","6:42","5:33","144","147","66","0","413","5.07","457","5.61","169","276","50,0% L / 50,0% P","0,88","8,6","9,6","98","11,0","6:23","174","6:42","6:42","--","--"
"4","6:52,0","24:00","1,00","6:52","5:35","143","150","63","10","388","4.76","463","5.68","166","275","50,3% L / 49,7% P","0,86","8,8","10,1","96","11,0","4:46","177","6:52,0","6:52","--","--"
"5","4:11,4","28:12","1,00","4:11","4:36","135","146","0","86","319","3.91","388","4.76","173","219","50,8% L / 49,2% P","1,38","10,7","7,5","55","10,0","3:55","183","4:11","4:11","--","--"
"6","7:14,2","35:26","1,00","7:14","5:58","138","147","69","15","382","4.69","442","5.42","165","287","50,6% L / 49,4% P","0,84","8,7","10,2","94","9,0","4:34","170","7:14","7:14","--","--"
"7","6:08,9","41:35","1,00","6:09","5:32","141","148","42","28","381","4.67","458","5.62","169","268","50,6% L / 49,4% P","0,94","9,2","9,8","83","10,0","4:15","179","6:08,9","6:09","--","--"
"8","4:16,6","45:52","1,00","4:17","4:37","137","142","0","77","325","3.99","441","5.41","175","218","51,1% L / 48,9% P","1,35","10,4","7,5","54","9,0","3:52","178","4:16,6","4:17","--","--"
"9","4:32,0","50:24","1,00","4:32","4:51","138","143","0","48","354","4.34","402","4.93","173","224","51,0% L / 49,0% P","1,28","10,4","7,9","60","8,0","4:11","176","4:32","4:32","--","--"
"10","4:59,2","55:23","1,00","4:59","5:09","138","143","0","14","372","4.56","438","5.37","173","238","50,4% L / 49,6% P","1,15","10,0","8,4","68","8,0","4:46","177","4:59","4:59","--","--"
"11","5:21,3","1:00:44","1,00","5:21","5:14","141","147","10","1","395","4.84","430","5.27","171","247","50,0% L / 50,0% P","1,09","10,0","9,0","75","8,0","4:59","174","5:21","5:21","--","--"
"12","5:25,7","1:06:10","1,00","5:26","5:13","143","147","18","0","405","4.97","444","5.45","172","253","50,0% L / 50,0% P","1,07","9,8","8,9","76","8,0","5:14","176","5:25,7","5:26","--","--"
"13","5:42,7","1:11:53","1,00","5:43","5:18","145","149","31","1","412","5.05","492","6.03","171","261","50,1% L / 49,9% P","1,02","9,6","9,2","80","9,0","5:15","174","5:42,7","5:43","--","--"
"14","0:01,1","1:11:54","0,01","2:57","6:02","143","143","0","0","337","4.13","337","4.13","170","238","51,1% L / 48,9% P","1,03","10,3","9,8","0","8,0","5:51","170","0:01","2:35","--","--"
"Podsumowanie","1:11:54","1:11:54","13,01","5:32","5:17","139","150","321","323","379","4.65","502","6.16","171","254","50,5% L / 49,5% P","1,05","9,5","9,0","988","9,9","3:52","183","1:11:52","5:32","--","--"
