"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:03,7","5:03,7","1,00","5:04","5:23","123","132","0","32","346","4.35","413","5.20","175","247","50,6% L / 49,4% P","1,12","9,7","8,7","65","22,0","4:23","179","5:03,7","5:04","--","--"
"2","5:10,6","10:14","1,00","5:11","5:22","130","135","0","18","351","4.42","374","4.71","177","253","49,8% L / 50,2% P","1,09","9,2","8,2","71","19,0","5:03","180","5:10","5:10","--","--"
"3","5:14,2","15:29","1,00","5:14","5:20","132","138","0","10","358","4.50","417","5.25","176","253","50,4% L / 49,6% P","1,09","9,3","8,3","74","18,0","4:59","180","5:14","5:14","--","--"
"4","5:34,0","21:03","1,00","5:34","5:27","135","144","8","9","361","4.54","428","5.39","172","262","50,3% L / 49,7% P","1,06","9,4","8,6","78","17,0","4:54","177","5:34,0","5:34","--","--"
"5","8:10,2","29:13","1,00","8:10","5:50","141","149","90","0","355","4.47","412","5.18","166","308","50,5% L / 49,5% P","0,73","7,0","9,4","108","17,0","6:30","179","8:10,2","8:10","--","--"
"6","14:15","43:27","1,00","14:15","5:35","147","155","213","4","292","3.67","452","5.69","134","393","49,8% L / 50,2% P","0,53","5,1","9,6","199","17,0","5:12","255","14:14","14:14","--","--"
"7","5:46,0","49:13","1,00","5:46","6:05","137","144","2","137","209","2.63","361","4.54","172","250","49,8% L / 50,2% P","1,02","9,3","8,9","70","16,0","4:31","219","5:46,0","5:46","--","--"
"8","7:39,0","56:52","1,00","7:39","6:03","138","146","56","3","344","4.33","442","5.56","161","309","50,4% L / 49,6% P","0,82","8,6","10,3","91","17,0","5:52","169","7:39,0","7:39","--","--"
"9","7:09,8","1:04:02","1,00","7:10","6:01","137","150","52","40","325","4.09","493","6.20","158","299","50,4% L / 49,6% P","0,90","8,7","9,6","83","17,0","4:26","176","7:02","7:02","--","--"
"10","8:32,1","1:12:34","1,00","8:32","5:38","139","147","80","27","318","4.00","421","5.30","154","333","50,0% L / 50,0% P","0,73","7,3","9,9","98","17,0","4:47","172","8:32","8:32","--","--"
"11","10:22","1:22:56","1,00","10:22","5:13","142","149","133","0","350","4.40","428","5.39","154","345","50,0% L / 50,0% P","0,66","7,2","11,0","120","17,0","4:33","169","10:22","10:22","--","--"
"12","9:42,2","1:32:39","1,00","9:42","5:06","144","151","112","14","332","4.18","441","5.55","152","346","50,2% L / 49,8% P","0,66","6,7","10,1","119","17,0","4:54","184","9:42","9:42","--","--"
"13","4:39,8","1:37:18","1,00","4:40","4:48","140","150","0","196","170","2.14","334","4.20","186","227","49,8% L / 50,2% P","1,17","8,7","7,2","56","15,0","3:44","231","4:39,8","4:40","--","--"
"14","4:14,9","1:41:33","1,00","4:15","4:31","147","152","0","181","170","2.14","363","4.57","187","220","50,5% L / 49,5% P","1,25","8,6","6,6","58","14,0","3:05","245","4:14,9","4:15","--","--"
"15","3:58,1","1:45:31","1,00","3:58","4:19","152","156","0","80","332","4.18","445","5.60","180","221","51,0% L / 49,0% P","1,41","9,6","6,6","62","15,0","3:36","183","3:58","3:58","--","--"
"16","0:01,0","1:45:32","0,00","4:29","4:34","156","156","0","0","426","5.36","426","5.36","181","238","50,3% L / 49,8% P","1,24","8,8","6,7","0","16,0","4:33","181","0:01,0","4:29","--","--"
"Podsumowanie","1:45:32","1:45:32","15,00","7:02","5:25","140","156","748","752","313","3.94","493","6.20","162","302","50,2% L / 49,8% P","0,86","7,8","9,3","1.353","17,0","3:05","255","1:45:23","7:01","--","--"
