"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:31,6","5:31,6","1,00","5:32","5:38","130","137","0","1","347","4.38","386","4.88","168","264","50,5% L / 49,5% P","1,06","9,8","8,8","73","15,0","5:20","174","5:28","5:28","--","--"
"2","5:24,4","10:56","1,00","5:24","5:21","137","141","6","1","362","4.57","401","5.07","174","260","50,7% L / 49,3% P","1,06","9,2","8,4","76","13,0","5:12","177","5:24,4","5:24","--","--"
"3","5:29,9","16:26","1,00","5:30","5:27","138","143","5","0","360","4.55","406","5.13","172","261","50,4% L / 49,6% P","1,06","9,6","8,8","77","12,0","5:15","175","5:29,9","5:30","--","--"
"4","5:24,9","21:51","1,00","5:25","5:23","142","147","6","1","366","4.62","423","5.35","173","256","50,6% L / 49,4% P","1,07","9,6","8,8","76","11,0","4:59","176","5:24,9","5:25","--","--"
"5","5:24,1","27:15","1,00","5:24","5:21","141","145","2","0","368","4.65","410","5.18","172","254","50,6% L / 49,4% P","1,08","9,9","8,9","75","11,0","5:10","176","5:24","5:24","--","--"
"6","5:21,1","32:36","1,00","5:21","5:24","139","142","1","3","366","4.62","398","5.03","172","256","50,7% L / 49,3% P","1,09","9,9","8,9","72","10,0","5:02","175","5:21","5:21","--","--"
"7","5:21,1","37:57","1,00","5:21","5:23","139","144","0","4","372","4.70","407","5.14","172","259","50,6% L / 49,4% P","1,09","9,9","8,9","72","10,0","5:05","174","5:21","5:21","--","--"
"8","5:10,8","43:08","1,00","5:11","5:14","142","147","1","5","378","4.78","434","5.48","172","255","50,7% L / 49,3% P","1,12","9,9","8,6","73","10,0","4:53","176","5:10,8","5:11","--","--"
"9","5:07,2","48:15","1,00","5:07","5:10","143","146","0","5","381","4.81","434","5.48","173","255","50,8% L / 49,3% P","1,13","9,9","8,5","71","10,0","4:56","176","5:07","5:07","--","--"
"10","5:17,5","53:33","1,00","5:18","5:16","143","148","2","4","375","4.74","410","5.18","172","258","50,8% L / 49,2% P","1,11","9,8","8,6","73","10,0","5:06","174","5:17","5:17","--","--"
"11","5:15,7","58:48","1,00","5:16","5:14","144","149","5","2","378","4.78","424","5.36","172","258","50,8% L / 49,2% P","1,11","9,7","8,5","73","10,0","5:07","175","5:15,7","5:16","--","--"
"12","0:01,2","58:50","0,01","2:50","5:05","147","147","0","0","387","4.89","389","4.92","173","255","50,8% L / 49,2% P","1,15","9,8","8,2","0","11,0","5:06","174","0:01","2:17","--","--"
"Podsumowanie","58:50","58:50","11,01","5:21","5:21","140","149","28","28","368","4.65","434","5.48","172","258","50,6% L / 49,4% P","1,09","9,7","8,7","812","11,1","4:53","177","58:45","5:20","--","--"
