"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:03,5","5:03,5","1,00","5:03","5:19","120","130","1","31","342","4.32","468","5.91","174","241","51,5% L / 48,5% P","1,14","9,7","8,4","63","19,0","4:33","179","5:03,5","5:04","--","--"
"2","5:05,3","10:09","1,00","5:05","5:17","130","135","0","17","353","4.46","412","5.21","175","244","50,8% L / 49,2% P","1,12","9,5","8,3","71","14,0","4:45","178","5:05","5:05","--","--"
"3","5:12,6","15:21","1,00","5:13","5:14","132","136","0","12","356","4.50","394","4.98","175","249","50,3% L / 49,7% P","1,11","9,5","8,3","73","14,0","4:47","179","5:12,6","5:13","--","--"
"4","5:45,8","21:07","1,00","5:46","5:40","131","136","11","0","351","4.44","387","4.89","173","256","50,3% L / 49,7% P","1,00","9,2","9,0","78","13,0","5:35","176","5:45,8","5:46","--","--"
"5","6:32,2","27:39","1,00","6:32","5:50","135","142","42","0","366","4.62","444","5.61","171","272","50,1% L / 49,9% P","0,90","8,5","9,3","86","12,0","5:39","176","6:32","6:32","--","--"
"6","7:03,8","34:43","1,00","7:04","5:35","142","148","75","0","383","4.84","455","5.75","172","282","50,3% L / 49,7% P","0,82","7,7","9,2","98","11,0","6:15","180","7:03,8","7:04","--","--"
"7","6:03,1","40:46","1,00","6:03","5:26","138","150","37","34","352","4.45","433","5.47","171","266","50,5% L / 49,5% P","0,95","8,6","9,1","79","11,0","4:23","179","6:03","6:03","--","--"
"8","4:44,6","45:31","1,00","4:45","5:15","125","129","0","86","285","3.60","325","4.11","171","234","51,8% L / 48,2% P","1,23","10,4","8,3","49","10,0","4:29","174","4:44","4:44","--","--"
"9","5:22,4","50:53","1,00","5:22","5:32","133","143","0","22","340","4.30","373","4.71","171","253","51,0% L / 49,0% P","1,10","9,9","8,8","68","10,0","4:54","177","5:22,4","5:22","--","--"
"10","5:54,9","56:48","1,00","5:55","5:32","142","152","28","0","387","4.89","486","6.14","172","265","50,4% L / 49,6% P","0,98","9,4","9,4","83","11,0","5:38","181","5:54,9","5:55","--","--"
"11","0:02,2","56:50","0,01","6:06","5:05","149","150","0","0","433","5.47","434","5.48","167","291","50,2% L / 49,8% P","0,93","8,6","9,1","1","11,0","6:16","167","0:01","2:48","--","--"
"Podsumowanie","56:50","56:50","10,01","5:41","5:29","133","152","196","203","354","4.47","486","6.14","173","258","50,7% L / 49,3% P","1,02","9,2","8,8","750","12,4","4:23","181","56:48","5:41","--","--"
